Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,client,23440968,23440968,100.0,0,0.0
2,smtp_srch,23440968,23440968,100.0,0,0.0
3,valid_to,23440968,23440968,100.0,0,0.0
4,valid_from,23440968,23440968,100.0,0,0.0
5,tnef,23440968,23440968,100.0,0,0.0
6,encode,23440968,23440968,100.0,0,0.0
7,r3_user,23440968,23440968,100.0,0,0.0
8,dft_receiv,23440968,23440968,100.0,0,0.0
9,smtp_addr,23440968,23440968,100.0,0,0.0
10,addrnumber,23440968,23440968,100.0,0,0.0
11,home_flag,23440968,23440968,100.0,0,0.0
12,flg_nouse,23440968,23440968,100.0,0,0.0
13,flgdefault,23440968,23440968,100.0,0,0.0
14,consnumber,23440968,23440968,100.0,0,0.0
15,date_from,23440968,23440968,100.0,0,0.0
16,persnumber,23440968,23440968,100.0,0,0.0
17,src_commit_time,23440968,23440968,100.0,0,0.0
