Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,80504,80504,100.0,0,0.0
2,AEFUN,80504,80504,100.0,0,0.0
3,ERLED,80504,80504,100.0,0,0.0
4,AEDIF,80504,80504,100.0,0,0.0
5,FLUSE,80504,80504,100.0,0,0.0
6,AUDAT,80504,80504,100.0,0,0.0
7,INDAT,80504,80504,100.0,0,0.0
8,NACHT,80504,80504,100.0,0,0.0
9,TEREL,80504,80504,100.0,0,0.0
10,RLTIM,80504,80504,100.0,0,0.0
11,RLDAT,80504,80504,100.0,0,0.0
12,AERNG,80504,80504,100.0,0,0.0
13,CLINT,80504,80504,100.0,0,0.0
14,LVORM,80504,80504,100.0,0,0.0
15,RLKEY,80504,80504,100.0,0,0.0
16,UESTR,80504,80504,100.0,0,0.0
17,CONT1,80504,80504,100.0,0,0.0
18,AENNR,80504,80504,100.0,0,0.0
19,DYDAT,80504,80504,100.0,0,0.0
20,CCSTM,80504,80504,100.0,0,0.0
21,CCART,80504,80504,100.0,0,0.0
22,AEGRU,80504,80504,100.0,0,0.0
23,LTXSP,80504,80504,100.0,0,0.0
24,AETXT,80504,80504,100.0,0,0.0
25,AENAM,80504,80504,100.0,0,0.0
26,AEDAT,80504,80504,100.0,0,0.0
27,ANNAM,80504,80504,100.0,0,0.0
28,ANDAT,80504,80504,100.0,0,0.0
29,TECHV,80504,80504,100.0,0,0.0
30,DATUV,80504,80504,100.0,0,0.0
31,AENBE,80504,80504,100.0,0,0.0
32,AENST,80504,80504,100.0,0,0.0
33,src_commit_time,80504,80504,100.0,0,0.0
