Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,64399914,64399914,100.0,0,0.0
2,QKZPRFREI,64399914,64399914,100.0,0,0.0
3,PACKNO,64399914,64399914,100.0,0,0.0
4,TXJCD,64399914,64399914,100.0,0,0.0
5,SCOPE,64399914,64399914,100.0,0,0.0
6,GSBER,64399914,64399914,100.0,0,0.0
7,PRCTR,64399914,64399914,100.0,0,0.0
8,NO_DISP,64399914,64399914,100.0,0,0.0
9,QKZPRZEIT,64399914,64399914,100.0,0,0.0
10,QKZZTMG1,64399914,64399914,100.0,0,0.0
11,QKZPRMENG,64399914,64399914,100.0,0,0.0
12,KZFEAT,64399914,64399914,100.0,0,0.0
13,SUBSYS,64399914,64399914,100.0,0,0.0
14,QKZTLSBEST,64399914,64399914,100.0,0,0.0
15,AENNR,64399914,64399914,100.0,0,0.0
16,CUOBJ_ARB,64399914,64399914,100.0,0,0.0
17,EVGEW,64399914,64399914,100.0,0,0.0
18,ARBII,64399914,64399914,100.0,0,0.0
19,WERKI,64399914,64399914,100.0,0,0.0
20,CY_SEQNRV,64399914,64399914,100.0,0,0.0
21,KAPT_PUFFR,64399914,64399914,100.0,0,0.0
22,EBELN,64399914,64399914,100.0,0,0.0
23,PSPNR,64399914,64399914,100.0,0,0.0
24,NPTXTKY,64399914,64399914,100.0,0,0.0
25,AUFPL,64399914,64399914,100.0,0,0.0
26,LEKNW,64399914,64399914,100.0,0,0.0
27,ANLZU,64399914,64399914,100.0,0,0.0
28,ISTRU,64399914,64399914,100.0,0,0.0
29,ISTTY,64399914,64399914,100.0,0,0.0
30,ISTNR,64399914,64399914,100.0,0,0.0
31,ISTKN,64399914,64399914,100.0,0,0.0
32,ISTPO,64399914,64399914,100.0,0,0.0
33,IUPOZ,64399914,64399914,100.0,0,0.0
34,EBORT,64399914,64399914,100.0,0,0.0
35,VERTL,64399914,64399914,100.0,0,0.0
36,NPRIO,64399914,64399914,100.0,0,0.0
37,RSTUF,64399914,64399914,100.0,0,0.0
38,PVZKN,64399914,64399914,100.0,0,0.0
39,PHFLG,64399914,64399914,100.0,0,0.0
40,PHSEQ,64399914,64399914,100.0,0,0.0
41,KNOBJ,64399914,64399914,100.0,0,0.0
42,ERFSICHT,64399914,64399914,100.0,0,0.0
43,QPPKTABS,64399914,64399914,100.0,0,0.0
44,OTYPE,64399914,64399914,100.0,0,0.0
45,OBJEKTID,64399914,64399914,100.0,0,0.0
46,QLKAPAR,64399914,64399914,100.0,0,0.0
47,EBELP,64399914,64399914,100.0,0,0.0
48,WEMPF,64399914,64399914,100.0,0,0.0
49,ABLAD,64399914,64399914,100.0,0,0.0
50,ADRNR,64399914,64399914,100.0,0,0.0
51,PRZ01,64399914,64399914,100.0,0,0.0
52,RFPNT,64399914,64399914,100.0,0,0.0
53,FUNC_AREA,64399914,64399914,100.0,0,0.0
54,TECHS,64399914,64399914,100.0,0,0.0
55,ADPSP,64399914,64399914,100.0,0,0.0
56,RFIPPNT,64399914,64399914,100.0,0,0.0
57,MES_OPERID,64399914,64399914,100.0,0,0.0
58,MES_STEPID,64399914,64399914,100.0,0,0.0
59,/ISDFPS/OBJNR,64399914,64399914,100.0,0,0.0
60,ADRN2,64399914,64399914,100.0,0,0.0
61,CLASF,64399914,64399914,100.0,0,0.0
62,KUNN2,64399914,64399914,100.0,0,0.0
63,MILL_OC_AUFNR_MO,64399914,64399914,100.0,0,0.0
64,WTY_IND,64399914,64399914,100.0,0,0.0
65,TPLNR,64399914,64399914,100.0,0,0.0
66,EQUNR,64399914,64399914,100.0,0,0.0
67,PS_ADRNR,64399914,64399914,100.0,0,0.0
68,PS_ADRN2,64399914,64399914,100.0,0,0.0
69,PS_KUNNR,64399914,64399914,100.0,0,0.0
70,PS_EMLIF,64399914,64399914,100.0,0,0.0
71,MAT_PRKST,64399914,64399914,100.0,0,0.0
72,FORDP,64399914,64399914,100.0,0,0.0
73,FORDN,64399914,64399914,100.0,0,0.0
74,KALNR,64399914,64399914,100.0,0,0.0
75,FRUNV,64399914,64399914,100.0,0,0.0
76,ZSCHL,64399914,64399914,100.0,0,0.0
77,KALSM,64399914,64399914,100.0,0,0.0
78,SCHED_END,64399914,64399914,100.0,0,0.0
79,NETZKONT,64399914,64399914,100.0,0,0.0
80,OWAER,64399914,64399914,100.0,0,0.0
81,AFNAM,64399914,64399914,100.0,0,0.0
82,BEDNR,64399914,64399914,100.0,0,0.0
83,KZFIX,64399914,64399914,100.0,0,0.0
84,PERNR,64399914,64399914,100.0,0,0.0
85,FRDLB,64399914,64399914,100.0,0,0.0
86,QPART,64399914,64399914,100.0,0,0.0
87,LOEKZ,64399914,64399914,100.0,0,0.0
88,WKURS,64399914,64399914,100.0,0,0.0
89,PROD_ACT,64399914,64399914,100.0,0,0.0
90,FPLNR,64399914,64399914,100.0,0,0.0
91,OBJTYPE,64399914,64399914,100.0,0,0.0
92,CH_PROC,64399914,64399914,100.0,0,0.0
93,KLVAR,64399914,64399914,100.0,0,0.0
94,STDKN,64399914,64399914,100.0,0,0.0
95,FRSP,64399914,64399914,100.0,0,0.0
96,KALID,64399914,64399914,100.0,0,0.0
97,LOANZ,64399914,64399914,100.0,0,0.0
98,LAR02,64399914,64399914,100.0,0,0.0
99,LAR03,64399914,64399914,100.0,0,0.0
100,LAR04,64399914,64399914,100.0,0,0.0
101,LAR05,64399914,64399914,100.0,0,0.0
102,LAR06,64399914,64399914,100.0,0,0.0
103,ZERMA,64399914,64399914,100.0,0,0.0
104,ZGDAT,64399914,64399914,100.0,0,0.0
105,ZCODE,64399914,64399914,100.0,0,0.0
106,ZULNR,64399914,64399914,100.0,0,0.0
107,LOART,64399914,64399914,100.0,0,0.0
108,SELKZ,64399914,64399914,100.0,0,0.0
109,RSANZ,64399914,64399914,100.0,0,0.0
110,QUALF,64399914,64399914,100.0,0,0.0
111,ANZMA,64399914,64399914,100.0,0,0.0
112,RFGRP,64399914,64399914,100.0,0,0.0
113,RFSCH,64399914,64399914,100.0,0,0.0
114,RASCH,64399914,64399914,100.0,0,0.0
115,AUFAK,64399914,64399914,100.0,0,0.0
116,LOGRP,64399914,64399914,100.0,0,0.0
117,UEMUS,64399914,64399914,100.0,0,0.0
118,LAR01,64399914,64399914,100.0,0,0.0
119,VGWTS,64399914,64399914,100.0,0,0.0
120,VPLFL,64399914,64399914,100.0,0,0.0
121,VPLAL,64399914,64399914,100.0,0,0.0
122,APLZL,64399914,64399914,100.0,0,0.0
123,PLNFL,64399914,64399914,100.0,0,0.0
124,PLNKN,64399914,64399914,100.0,0,0.0
125,PLNAL,64399914,64399914,100.0,0,0.0
126,PLNTY,64399914,64399914,100.0,0,0.0
127,VINTV,64399914,64399914,100.0,0,0.0
128,PLNNR,64399914,64399914,100.0,0,0.0
129,ZAEHL,64399914,64399914,100.0,0,0.0
130,VORNR,64399914,64399914,100.0,0,0.0
131,STEUS,64399914,64399914,100.0,0,0.0
132,ARBID,64399914,64399914,100.0,0,0.0
133,PDEST,64399914,64399914,100.0,0,0.0
134,WERKS,64399914,64399914,100.0,0,0.0
135,KTSCH,64399914,64399914,100.0,0,0.0
136,LTXA1,64399914,64399914,100.0,0,0.0
137,LTXA2,64399914,64399914,100.0,0,0.0
138,TXTSP,64399914,64399914,100.0,0,0.0
139,VPLTY,64399914,64399914,100.0,0,0.0
140,VPLNR,64399914,64399914,100.0,0,0.0
141,UEKAN,64399914,64399914,100.0,0,0.0
142,FLIES,64399914,64399914,100.0,0,0.0
143,SPMUS,64399914,64399914,100.0,0,0.0
144,SPANZ,64399914,64399914,100.0,0,0.0
145,ANFKOKRS,64399914,64399914,100.0,0,0.0
146,INDET,64399914,64399914,100.0,0,0.0
147,LARNT,64399914,64399914,100.0,0,0.0
148,PRKST,64399914,64399914,100.0,0,0.0
149,APLFL,64399914,64399914,100.0,0,0.0
150,RUECK,64399914,64399914,100.0,0,0.0
151,RMZHL,64399914,64399914,100.0,0,0.0
152,PROJN,64399914,64399914,100.0,0,0.0
153,OBJNR,64399914,64399914,100.0,0,0.0
154,BEDID,64399914,64399914,100.0,0,0.0
155,SPLIM,64399914,64399914,100.0,0,0.0
156,BEDZL,64399914,64399914,100.0,0,0.0
157,BANFN,64399914,64399914,100.0,0,0.0
158,BNFPO,64399914,64399914,100.0,0,0.0
159,LEK01,64399914,64399914,100.0,0,0.0
160,LEK02,64399914,64399914,100.0,0,0.0
161,LEK03,64399914,64399914,100.0,0,0.0
162,LEK04,64399914,64399914,100.0,0,0.0
163,LEK05,64399914,64399914,100.0,0,0.0
164,LEK06,64399914,64399914,100.0,0,0.0
