Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,526581,526581,100.0,0,0.0
2,BUKRS,526581,526581,100.0,0,0.0
3,SANWV,526581,526581,100.0,0,0.0
4,VERKO,526581,526581,100.0,0,0.0
5,ANUPD,526581,526581,100.0,0,0.0
6,ERLBT,526581,526581,100.0,0,0.0
7,AUFNL,526581,526581,100.0,0,0.0
8,MAFAL,526581,526581,100.0,0,0.0
9,AAFAL,526581,526581,100.0,0,0.0
10,SAFAL,526581,526581,100.0,0,0.0
11,NAFAL,526581,526581,100.0,0,0.0
12,INVZL,526581,526581,100.0,0,0.0
13,AUFWL,526581,526581,100.0,0,0.0
14,AUFNV,526581,526581,100.0,0,0.0
15,MAFAV,526581,526581,100.0,0,0.0
16,AAFAV,526581,526581,100.0,0,0.0
17,SAFAV,526581,526581,100.0,0,0.0
18,NAFAV,526581,526581,100.0,0,0.0
19,INVZV,526581,526581,100.0,0,0.0
20,AUFWV,526581,526581,100.0,0,0.0
21,ZUCOD,526581,526581,100.0,0,0.0
22,ZUJHR,526581,526581,100.0,0,0.0
23,AFABE,526581,526581,100.0,0,0.0
24,LNRAN,526581,526581,100.0,0,0.0
25,GJAHR,526581,526581,100.0,0,0.0
26,ANLN2,526581,526581,100.0,0,0.0
27,ANLN1,526581,526581,100.0,0,0.0
28,src_commit_time,526581,526581,100.0,0,0.0
