Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,322547,322547,100.0,0,0.0
2,XAFBE,322547,322547,100.0,0,0.0
3,ALIND,322547,322547,100.0,0,0.0
4,APROP,322547,322547,100.0,0,0.0
5,UMJAR,322547,322547,100.0,0,0.0
6,NDURJ,322547,322547,100.0,0,0.0
7,NDURP,322547,322547,100.0,0,0.0
8,SCHRW,322547,322547,100.0,0,0.0
9,LGJAN,322547,322547,100.0,0,0.0
10,PERFY,322547,322547,100.0,0,0.0
11,ANUPD,322547,322547,100.0,0,0.0
12,AUFWTG,322547,322547,100.0,0,0.0
13,ANLGR,322547,322547,100.0,0,0.0
14,BUKRS,322547,322547,100.0,0,0.0
15,ANLGR2,322547,322547,100.0,0,0.0
16,VYEAR,322547,322547,100.0,0,0.0
17,VMNTH,322547,322547,100.0,0,0.0
18,INBDA,322547,322547,100.0,0,0.0
19,ABGDAT_B,322547,322547,100.0,0,0.0
20,J_1AARVKEY,322547,322547,100.0,0,0.0
21,J_1AALTDAT,322547,322547,100.0,0,0.0
22,J_1AALTIDX,322547,322547,100.0,0,0.0
23,SCHRW_PROZ,322547,322547,100.0,0,0.0
24,UMPER,322547,322547,100.0,0,0.0
25,WBIND,322547,322547,100.0,0,0.0
26,SAPRZ,322547,322547,100.0,0,0.0
27,NAPRZ,322547,322547,100.0,0,0.0
28,NDPER,322547,322547,100.0,0,0.0
29,ANLN1,322547,322547,100.0,0,0.0
30,ANLN2,322547,322547,100.0,0,0.0
31,AFABE,322547,322547,100.0,0,0.0
32,BDATU,322547,322547,100.0,0,0.0
33,ADATU,322547,322547,100.0,0,0.0
34,ERNAM,322547,322547,100.0,0,0.0
35,ERDAT,322547,322547,100.0,0,0.0
36,AENAM,322547,322547,100.0,0,0.0
37,AEDAT,322547,322547,100.0,0,0.0
38,XLOEV,322547,322547,100.0,0,0.0
39,XSPEB,322547,322547,100.0,0,0.0
40,FELEI,322547,322547,100.0,0,0.0
41,XNEGA,322547,322547,100.0,0,0.0
42,XGWGK,322547,322547,100.0,0,0.0
43,XUNTA,322547,322547,100.0,0,0.0
44,AFABG,322547,322547,100.0,0,0.0
45,ZINBG,322547,322547,100.0,0,0.0
46,SAFBG,322547,322547,100.0,0,0.0
47,INVSL,322547,322547,100.0,0,0.0
48,AFASL,322547,322547,100.0,0,0.0
49,NDJAR,322547,322547,100.0,0,0.0
50,src_commit_time,322547,322547,100.0,0,0.0
