Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,1455107,1455107,100.0,0,0.0
2,MAFAM,1455107,1455107,100.0,0,0.0
3,AUFWV,1455107,1455107,100.0,0,0.0
4,ZUSMA,1455107,1455107,100.0,0,0.0
5,ZUSAA,1455107,1455107,100.0,0,0.0
6,ZUSSA,1455107,1455107,100.0,0,0.0
7,ZUSNA,1455107,1455107,100.0,0,0.0
8,AUFNM,1455107,1455107,100.0,0,0.0
9,ZINSM,1455107,1455107,100.0,0,0.0
10,AAFAM,1455107,1455107,100.0,0,0.0
11,NAFAV,1455107,1455107,100.0,0,0.0
12,SAFAM,1455107,1455107,100.0,0,0.0
13,NAFAM,1455107,1455107,100.0,0,0.0
14,INVZM,1455107,1455107,100.0,0,0.0
15,AUFWM,1455107,1455107,100.0,0,0.0
16,ANSAZ,1455107,1455107,100.0,0,0.0
17,ABGAN,1455107,1455107,100.0,0,0.0
18,ANSWL,1455107,1455107,100.0,0,0.0
19,INVZV,1455107,1455107,100.0,0,0.0
20,SAFAV,1455107,1455107,100.0,0,0.0
21,BUKRS,1455107,1455107,100.0,0,0.0
22,AUFNL,1455107,1455107,100.0,0,0.0
23,PSTPER,1455107,1455107,100.0,0,0.0
24,PSTCALC,1455107,1455107,100.0,0,0.0
25,PSTEND,1455107,1455107,100.0,0,0.0
26,PSTBEG,1455107,1455107,100.0,0,0.0
27,SANSL,1455107,1455107,100.0,0,0.0
28,KSANS,1455107,1455107,100.0,0,0.0
29,ANUPD,1455107,1455107,100.0,0,0.0
30,MAFAL,1455107,1455107,100.0,0,0.0
31,AAFAV,1455107,1455107,100.0,0,0.0
32,AAFAL,1455107,1455107,100.0,0,0.0
33,SAFAL,1455107,1455107,100.0,0,0.0
34,NAFAL,1455107,1455107,100.0,0,0.0
35,INVZL,1455107,1455107,100.0,0,0.0
36,AUFWL,1455107,1455107,100.0,0,0.0
37,AUFNV,1455107,1455107,100.0,0,0.0
38,MAFAV,1455107,1455107,100.0,0,0.0
39,AUFNG,1455107,1455107,100.0,0,0.0
40,ZINSG,1455107,1455107,100.0,0,0.0
41,MAFAG,1455107,1455107,100.0,0,0.0
42,XAFAR,1455107,1455107,100.0,0,0.0
43,KAUFW,1455107,1455107,100.0,0,0.0
44,KANSW,1455107,1455107,100.0,0,0.0
45,RSTCK,1455107,1455107,100.0,0,0.0
46,ANDSP,1455107,1455107,100.0,0,0.0
47,ANDSJ,1455107,1455107,100.0,0,0.0
48,NDABP,1455107,1455107,100.0,0,0.0
49,NDABJ,1455107,1455107,100.0,0,0.0
50,AFBANZ,1455107,1455107,100.0,0,0.0
51,AAFAG,1455107,1455107,100.0,0,0.0
52,AFBLPE,1455107,1455107,100.0,0,0.0
53,ZUCOD,1455107,1455107,100.0,0,0.0
54,ZUJHR,1455107,1455107,100.0,0,0.0
55,AFABE,1455107,1455107,100.0,0,0.0
56,GJAHR,1455107,1455107,100.0,0,0.0
57,ANLN2,1455107,1455107,100.0,0,0.0
58,ANLN1,1455107,1455107,100.0,0,0.0
59,KINVZ,1455107,1455107,100.0,0,0.0
60,KNAFA,1455107,1455107,100.0,0,0.0
61,KSAFA,1455107,1455107,100.0,0,0.0
62,KAAFA,1455107,1455107,100.0,0,0.0
63,SAFAG,1455107,1455107,100.0,0,0.0
64,NAFAG,1455107,1455107,100.0,0,0.0
65,AUFWB,1455107,1455107,100.0,0,0.0
66,AUFNP,1455107,1455107,100.0,0,0.0
67,ZINSP,1455107,1455107,100.0,0,0.0
68,MAFAP,1455107,1455107,100.0,0,0.0
69,AAFAP,1455107,1455107,100.0,0,0.0
70,SAFAP,1455107,1455107,100.0,0,0.0
71,NAFAP,1455107,1455107,100.0,0,0.0
72,AUFWP,1455107,1455107,100.0,0,0.0
73,KVOST,1455107,1455107,100.0,0,0.0
74,KANZA,1455107,1455107,100.0,0,0.0
75,KAUFN,1455107,1455107,100.0,0,0.0
76,KZINW,1455107,1455107,100.0,0,0.0
77,KMAFA,1455107,1455107,100.0,0,0.0
78,src_commit_time,1455107,1455107,100.0,0,0.0
