Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,62077223,62077223,100.0,0,0.0
2,ATCOD,62077223,62077223,100.0,0,0.0
3,DATUB,62077223,62077223,100.0,0,0.0
4,ATVGLART,62077223,62077223,100.0,0,0.0
5,ATSRT,62077223,62077223,100.0,0,0.0
6,ATZIS,62077223,62077223,100.0,0,0.0
7,ATIMB,62077223,62077223,100.0,0,0.0
8,LKENZ,62077223,62077223,100.0,0,0.0
9,DATUV,62077223,62077223,100.0,0,0.0
10,ATAUT,62077223,62077223,100.0,0,0.0
11,OBJEK,62077223,62077223,100.0,0,0.0
12,src_commit_time,62077223,62077223,100.0,0,0.0
13,ADZHL,62077223,62077223,100.0,0,0.0
14,KLART,62077223,62077223,100.0,0,0.0
15,MAFID,62077223,62077223,100.0,0,0.0
16,ATZHL,62077223,62077223,100.0,0,0.0
17,ATINN,62077223,62077223,100.0,0,0.0
18,ATPRZ,55793693,62077223,89.9,6283530,10.1
19,ATINC,55793693,62077223,89.9,6283530,10.1
20,ATAWE,55793693,62077223,89.9,6283530,10.1
21,ATFLV,55793693,62077223,89.9,6283530,10.1
22,ATTLV,55793693,62077223,89.9,6283530,10.1
23,ATWRT,6661442,62077223,10.7,55415781,89.3
24,ATAW1,378578,62077223,0.6,61698645,99.4
25,ATFLB,378578,62077223,0.6,61698645,99.4
26,ATTLB,378578,62077223,0.6,61698645,99.4
27,AENNR,377915,62077223,0.6,61699308,99.4
