Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,mandt,2561702,2561702,100.0,0,0.0
2,korrk,2561702,2561702,100.0,0,0.0
3,pprcto,2561702,2561702,100.0,0,0.0
4,prctro,2561702,2561702,100.0,0,0.0
5,pargbo,2561702,2561702,100.0,0,0.0
6,gsbero,2561702,2561702,100.0,0,0.0
7,pprct,2561702,2561702,100.0,0,0.0
8,prctr,2561702,2561702,100.0,0,0.0
9,pargb,2561702,2561702,100.0,0,0.0
10,gsber,2561702,2561702,100.0,0,0.0
11,dmbe3,2561702,2561702,100.0,0,0.0
12,dmbe2,2561702,2561702,100.0,0,0.0
13,dmbtr,2561702,2561702,100.0,0,0.0
14,shkzg,2561702,2561702,100.0,0,0.0
15,lifnr,2561702,2561702,100.0,0,0.0
16,bukrs,2561702,2561702,100.0,0,0.0
17,hkont,2561702,2561702,100.0,0,0.0
18,vbund,2561702,2561702,100.0,0,0.0
19,augdt,2561702,2561702,100.0,0,0.0
20,budat,2561702,2561702,100.0,0,0.0
21,laidap,2561702,2561702,100.0,0,0.0
22,laidop,2561702,2561702,100.0,0,0.0
23,auzei,2561702,2561702,100.0,0,0.0
24,tlzei,2561702,2561702,100.0,0,0.0
25,opzei,2561702,2561702,100.0,0,0.0
26,buzei,2561702,2561702,100.0,0,0.0
27,gjahr,2561702,2561702,100.0,0,0.0
28,belnr,2561702,2561702,100.0,0,0.0
29,src_commit_time,2561702,2561702,100.0,0,0.0
