Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,89202514,89202514,100.0,0,0.0
2,LOTKZ,89202514,89202514,100.0,0,0.0
3,RESUBMISSION,89202514,89202514,100.0,0,0.0
4,XMCA,89202514,89202514,100.0,0,0.0
5,KUR3X,89202514,89202514,100.0,0,0.0
6,KUR2X,89202514,89202514,100.0,0,0.0
7,KURSX,89202514,89202514,100.0,0,0.0
8,KURST,89202514,89202514,100.0,0,0.0
9,SUBSET,89202514,89202514,100.0,0,0.0
10,XREORG,89202514,89202514,100.0,0,0.0
11,FOLLOW_ON,89202514,89202514,100.0,0,0.0
12,CASH_ALLOC,89202514,89202514,100.0,0,0.0
13,VATDATE,89202514,89202514,100.0,0,0.0
14,XBLNR_ALT,89202514,89202514,100.0,0,0.0
15,PROPMANO,89202514,89202514,100.0,0,0.0
16,LDGRP,89202514,89202514,100.0,0,0.0
17,RLDNR,89202514,89202514,100.0,0,0.0
18,REINDAT,89202514,89202514,100.0,0,0.0
19,XREVERSAL,89202514,89202514,100.0,0,0.0
20,XREF2_HD,89202514,89202514,100.0,0,0.0
21,XREF1_HD,89202514,89202514,100.0,0,0.0
22,ADISC,89202514,89202514,100.0,0,0.0
23,NUMPG,89202514,89202514,100.0,0,0.0
24,BRNCH,89202514,89202514,100.0,0,0.0
25,PPTCOD,89202514,89202514,100.0,0,0.0
26,PPTME,89202514,89202514,100.0,0,0.0
27,PPDAT,89202514,89202514,100.0,0,0.0
28,PPNAM,89202514,89202514,100.0,0,0.0
29,STGRD,89202514,89202514,100.0,0,0.0
30,PSOTY,89202514,89202514,100.0,0,0.0
31,PSOAK,89202514,89202514,100.0,0,0.0
32,PSOKS,89202514,89202514,100.0,0,0.0
33,SAMPLED,89202514,89202514,100.0,0,0.0
34,INWARDDT_HD,89202514,89202514,100.0,0,0.0
35,INWARDNO_HD,89202514,89202514,100.0,0,0.0
36,PYIBAN,89202514,89202514,100.0,0,0.0
37,PYBASDAT,89202514,89202514,100.0,0,0.0
38,PYBASNO,89202514,89202514,100.0,0,0.0
39,PYBASTYP,89202514,89202514,100.0,0,0.0
40,KNUMV,89202514,89202514,100.0,0,0.0
41,PENRC,89202514,89202514,100.0,0,0.0
42,OFFSET_REFER_DAT,89202514,89202514,100.0,0,0.0
43,OFFSET_STATUS,89202514,89202514,100.0,0,0.0
44,BLIND,89202514,89202514,100.0,0,0.0
45,EXCLUDE_FLAG,89202514,89202514,100.0,0,0.0
46,SNAME,89202514,89202514,100.0,0,0.0
47,PSOSG,89202514,89202514,100.0,0,0.0
48,BATCH,89202514,89202514,100.0,0,0.0
49,SSBLK,89202514,89202514,100.0,0,0.0
50,CCNUM,89202514,89202514,100.0,0,0.0
51,CCINS,89202514,89202514,100.0,0,0.0
52,FM_UMART,89202514,89202514,100.0,0,0.0
53,PSOTM,89202514,89202514,100.0,0,0.0
54,PSODT,89202514,89202514,100.0,0,0.0
55,PSOZL,89202514,89202514,100.0,0,0.0
56,PSOBT,89202514,89202514,100.0,0,0.0
57,INTDATE,89202514,89202514,100.0,0,0.0
58,INTFORM,89202514,89202514,100.0,0,0.0
59,PSOFN,89202514,89202514,100.0,0,0.0
60,BUKRS,89202514,89202514,100.0,0,0.0
61,XWVOF,89202514,89202514,100.0,0,0.0
62,CTXKRS,89202514,89202514,100.0,0,0.0
63,XBLNR,89202514,89202514,100.0,0,0.0
64,GLVOR,89202514,89202514,100.0,0,0.0
65,XRUEB,89202514,89202514,100.0,0,0.0
66,FRATH,89202514,89202514,100.0,0,0.0
67,XNETB,89202514,89202514,100.0,0,0.0
68,BSTAT,89202514,89202514,100.0,0,0.0
69,KZKRS,89202514,89202514,100.0,0,0.0
70,KZWRS,89202514,89202514,100.0,0,0.0
71,KURSF,89202514,89202514,100.0,0,0.0
72,WAERS,89202514,89202514,100.0,0,0.0
73,BKTXT,89202514,89202514,100.0,0,0.0
74,STJAH,89202514,89202514,100.0,0,0.0
75,STBLG,89202514,89202514,100.0,0,0.0
76,DBBLG,89202514,89202514,100.0,0,0.0
77,BVORG,89202514,89202514,100.0,0,0.0
78,TXKRS,89202514,89202514,100.0,0,0.0
79,TCODE,89202514,89202514,100.0,0,0.0
80,USNAM,89202514,89202514,100.0,0,0.0
81,WWERT,89202514,89202514,100.0,0,0.0
82,UPDDT,89202514,89202514,100.0,0,0.0
83,AEDAT,89202514,89202514,100.0,0,0.0
84,CPUTM,89202514,89202514,100.0,0,0.0
85,CPUDT,89202514,89202514,100.0,0,0.0
86,MONAT,89202514,89202514,100.0,0,0.0
87,BUDAT,89202514,89202514,100.0,0,0.0
88,BLDAT,89202514,89202514,100.0,0,0.0
89,BLART,89202514,89202514,100.0,0,0.0
90,GJAHR,89202514,89202514,100.0,0,0.0
91,BELNR,89202514,89202514,100.0,0,0.0
92,GRPID,89202514,89202514,100.0,0,0.0
93,DOKID,89202514,89202514,100.0,0,0.0
94,UMRD2,89202514,89202514,100.0,0,0.0
95,ARCID,89202514,89202514,100.0,0,0.0
96,AWSYS,89202514,89202514,100.0,0,0.0
97,DUEFL,89202514,89202514,100.0,0,0.0
98,XUSVR,89202514,89202514,100.0,0,0.0
99,AUSBK,89202514,89202514,100.0,0,0.0
100,XSNET,89202514,89202514,100.0,0,0.0
101,KUTY3,89202514,89202514,100.0,0,0.0
102,KUTY2,89202514,89202514,100.0,0,0.0
103,CURT3,89202514,89202514,100.0,0,0.0
104,CURT2,89202514,89202514,100.0,0,0.0
105,XMWST,89202514,89202514,100.0,0,0.0
106,STODT,89202514,89202514,100.0,0,0.0
107,XSTOV,89202514,89202514,100.0,0,0.0
108,UMRD3,89202514,89202514,100.0,0,0.0
109,src_commit_time,89202514,89202514,100.0,0,0.0
110,BASW3,89202514,89202514,100.0,0,0.0
111,BASW2,89202514,89202514,100.0,0,0.0
112,KURS3,89202514,89202514,100.0,0,0.0
113,KURS2,89202514,89202514,100.0,0,0.0
114,HWAE3,89202514,89202514,100.0,0,0.0
115,HWAE2,89202514,89202514,100.0,0,0.0
116,HWAER,89202514,89202514,100.0,0,0.0
117,FIKRS,89202514,89202514,100.0,0,0.0
118,AWKEY,89202514,89202514,100.0,0,0.0
119,AWTYP,89202514,89202514,100.0,0,0.0
120,IBLAR,89202514,89202514,100.0,0,0.0
121,DOCCAT,58153609,89202514,65.2,31048905,34.8
122,XSPLIT,58153609,89202514,65.2,31048905,34.8
123,/SAPF15/STATUS,58153609,89202514,65.2,31048905,34.8
