Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,mandt,1792996,1792996,100.0,0,0.0
2,bukrs,1792996,1792996,100.0,0,0.0
3,lifnr,1792996,1792996,100.0,0,0.0
4,waers,1792996,1792996,100.0,0,0.0
5,bldat,1792996,1792996,100.0,0,0.0
6,xblnr,1792996,1792996,100.0,0,0.0
7,wrbtr,1792996,1792996,100.0,0,0.0
8,belnr,1792996,1792996,100.0,0,0.0
9,gjahr,1792996,1792996,100.0,0,0.0
10,buzei,1792996,1792996,100.0,0,0.0
11,shkzg,1792996,1792996,100.0,0,0.0
12,src_commit_time,1792996,1792996,100.0,0,0.0
