Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDANT,998594431,998594431,100.0,0,0.0
2,UNIT_OLD,998594431,998594431,100.0,0,0.0
3,_DATAAGING,998594431,998594431,100.0,0,0.0
4,VALUE_OLD,998594431,998594431,100.0,0,0.0
5,VALUE_NEW,998594431,998594431,100.0,0,0.0
6,CUKY_NEW,998594431,998594431,100.0,0,0.0
7,CUKY_OLD,998594431,998594431,100.0,0,0.0
8,UNIT_NEW,998594431,998594431,100.0,0,0.0
9,TEXT_CASE,998594431,998594431,100.0,0,0.0
10,OBJECTCLAS,998594431,998594431,100.0,0,0.0
11,CHNGIND,998594431,998594431,100.0,0,0.0
12,FNAME,998594431,998594431,100.0,0,0.0
13,TABKEY,998594431,998594431,100.0,0,0.0
14,TABNAME,998594431,998594431,100.0,0,0.0
15,CHANGENR,998594431,998594431,100.0,0,0.0
16,OBJECTID,998594431,998594431,100.0,0,0.0
17,src_commit_time,998594431,998594431,100.0,0,0.0
