Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,16028,16028,100.0,0,0.0
2,KOKRS,16028,16028,100.0,0,0.0
3,RECID,16028,16028,100.0,0,0.0
4,LOEVM,16028,16028,100.0,0,0.0
5,DEAKT,16028,16028,100.0,0,0.0
6,MSEHI,16028,16028,100.0,0,0.0
7,MGEFL,16028,16028,100.0,0,0.0
8,AUFNR,16028,16028,100.0,0,0.0
9,KOSTL,16028,16028,100.0,0,0.0
10,PLAUS,16028,16028,100.0,0,0.0
11,PLAOR,16028,16028,100.0,0,0.0
12,PLAZU,16028,16028,100.0,0,0.0
13,EIGEN,16028,16028,100.0,0,0.0
14,USNAM,16028,16028,100.0,0,0.0
15,ERSDA,16028,16028,100.0,0,0.0
16,KATYP,16028,16028,100.0,0,0.0
17,DATAB,16028,16028,100.0,0,0.0
18,DATBI,16028,16028,100.0,0,0.0
19,KSTAR,16028,16028,100.0,0,0.0
20,src_commit_time,16028,16028,100.0,0,0.0
