Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,8506,8506,100.0,0,0.0
2,TELF2,8506,8506,100.0,0,0.0
3,CCKEY,8506,8506,100.0,0,0.0
4,KHINR,8506,8506,100.0,0,0.0
5,DRNAM,8506,8506,100.0,0,0.0
6,DATLT,8506,8506,100.0,0,0.0
7,TELX1,8506,8506,100.0,0,0.0
8,TELTX,8506,8506,100.0,0,0.0
9,TELFX,8506,8506,100.0,0,0.0
10,TELF1,8506,8506,100.0,0,0.0
11,KOKRS,8506,8506,100.0,0,0.0
12,TELBX,8506,8506,100.0,0,0.0
13,SPRAS,8506,8506,100.0,0,0.0
14,REGIO,8506,8506,100.0,0,0.0
15,PSTL2,8506,8506,100.0,0,0.0
16,PSTLZ,8506,8506,100.0,0,0.0
17,PFACH,8506,8506,100.0,0,0.0
18,STRAS,8506,8506,100.0,0,0.0
19,KOMPL,8506,8506,100.0,0,0.0
20,STAKZ,8506,8506,100.0,0,0.0
21,OBJNR,8506,8506,100.0,0,0.0
22,FUNKT,8506,8506,100.0,0,0.0
23,FERC_IND,8506,8506,100.0,0,0.0
24,JV_JIBSA,8506,8506,100.0,0,0.0
25,JV_JIBCL,8506,8506,100.0,0,0.0
26,JV_OTYPE,8506,8506,100.0,0,0.0
27,ETYPE,8506,8506,100.0,0,0.0
28,RECID,8506,8506,100.0,0,0.0
29,VNAME,8506,8506,100.0,0,0.0
30,SKD_TEMPL,8506,8506,100.0,0,0.0
31,SKI_TEMPL,8506,8506,100.0,0,0.0
32,SCD_TEMPL,8506,8506,100.0,0,0.0
33,SCI_TEMPL,8506,8506,100.0,0,0.0
34,FUNC_AREA,8506,8506,100.0,0,0.0
35,CPD_TEMPL,8506,8506,100.0,0,0.0
36,CPI_TEMPL,8506,8506,100.0,0,0.0
37,AFUNK,8506,8506,100.0,0,0.0
38,ORT02,8506,8506,100.0,0,0.0
39,ORT01,8506,8506,100.0,0,0.0
40,NAME4,8506,8506,100.0,0,0.0
41,ERSDA,8506,8506,100.0,0,0.0
42,WERKS,8506,8506,100.0,0,0.0
43,PRCTR,8506,8506,100.0,0,0.0
44,TXJCD,8506,8506,100.0,0,0.0
45,KALSM,8506,8506,100.0,0,0.0
46,WAERS,8506,8506,100.0,0,0.0
47,VERAK_USER,8506,8506,100.0,0,0.0
48,VERAK,8506,8506,100.0,0,0.0
49,KOSAR,8506,8506,100.0,0,0.0
50,GSBER,8506,8506,100.0,0,0.0
51,BUKRS,8506,8506,100.0,0,0.0
52,PKZKP,8506,8506,100.0,0,0.0
53,BKZKP,8506,8506,100.0,0,0.0
54,DATAB,8506,8506,100.0,0,0.0
55,DATBI,8506,8506,100.0,0,0.0
56,KOSTL,8506,8506,100.0,0,0.0
57,LOGSYSTEM,8506,8506,100.0,0,0.0
58,USNAM,8506,8506,100.0,0,0.0
59,NAME3,8506,8506,100.0,0,0.0
60,BKZKS,8506,8506,100.0,0,0.0
61,NAME2,8506,8506,100.0,0,0.0
62,NAME1,8506,8506,100.0,0,0.0
63,ANRED,8506,8506,100.0,0,0.0
64,LAND1,8506,8506,100.0,0,0.0
65,KOSZSCHL,8506,8506,100.0,0,0.0
66,KAPPL,8506,8506,100.0,0,0.0
67,KVEWE,8506,8506,100.0,0,0.0
68,NKOST,8506,8506,100.0,0,0.0
69,ABTEI,8506,8506,100.0,0,0.0
70,MGEFL,8506,8506,100.0,0,0.0
71,VMETH,8506,8506,100.0,0,0.0
72,PKZER,8506,8506,100.0,0,0.0
73,PKZKS,8506,8506,100.0,0,0.0
74,BKZOB,8506,8506,100.0,0,0.0
75,BKZER,8506,8506,100.0,0,0.0
76,src_commit_time,8506,8506,100.0,0,0.0
