Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,mandt,59605619,59605619,100.0,0,0.0
2,credat,59605619,59605619,100.0,0,0.0
3,sndsmn,59605619,59605619,100.0,0,0.0
4,sndsna,59605619,59605619,100.0,0,0.0
5,sndsca,59605619,59605619,100.0,0,0.0
6,sndsdf,59605619,59605619,100.0,0,0.0
7,sndslf,59605619,59605619,100.0,0,0.0
8,sndlad,59605619,59605619,100.0,0,0.0
9,refint,59605619,59605619,100.0,0,0.0
10,refgrp,59605619,59605619,100.0,0,0.0
11,refmes,59605619,59605619,100.0,0,0.0
12,arckey,59605619,59605619,100.0,0,0.0
13,cretim,59605619,59605619,100.0,0,0.0
14,docnum,59605619,59605619,100.0,0,0.0
15,mestyp,59605619,59605619,100.0,0,0.0
16,idoctp,59605619,59605619,100.0,0,0.0
17,cimtyp,59605619,59605619,100.0,0,0.0
18,rcvpfc,59605619,59605619,100.0,0,0.0
19,sndpfc,59605619,59605619,100.0,0,0.0
20,serial,59605619,59605619,100.0,0,0.0
21,exprss,59605619,59605619,100.0,0,0.0
22,upddat,59605619,59605619,100.0,0,0.0
23,updtim,59605619,59605619,100.0,0,0.0
24,maxsegnum,59605619,59605619,100.0,0,0.0
25,sndsad,59605619,59605619,100.0,0,0.0
26,sndprn,59605619,59605619,100.0,0,0.0
27,sndprt,59605619,59605619,100.0,0,0.0
28,sndpor,59605619,59605619,100.0,0,0.0
29,docrel,59605619,59605619,100.0,0,0.0
30,status,59605619,59605619,100.0,0,0.0
31,doctyp,59605619,59605619,100.0,0,0.0
32,direct,59605619,59605619,100.0,0,0.0
33,rcvpor,59605619,59605619,100.0,0,0.0
34,rcvprt,59605619,59605619,100.0,0,0.0
35,rcvprn,59605619,59605619,100.0,0,0.0
36,rcvsad,59605619,59605619,100.0,0,0.0
37,rcvsmn,59605619,59605619,100.0,0,0.0
38,rcvsna,59605619,59605619,100.0,0,0.0
39,rcvsca,59605619,59605619,100.0,0,0.0
40,rcvsdf,59605619,59605619,100.0,0,0.0
41,rcvslf,59605619,59605619,100.0,0,0.0
42,rcvlad,59605619,59605619,100.0,0,0.0
43,std,59605619,59605619,100.0,0,0.0
44,stdvrs,59605619,59605619,100.0,0,0.0
45,stdmes,59605619,59605619,100.0,0,0.0
46,mescod,59605619,59605619,100.0,0,0.0
47,mesfct,59605619,59605619,100.0,0,0.0
48,outmod,59605619,59605619,100.0,0,0.0
49,test,59605619,59605619,100.0,0,0.0
50,src_commit_time,59605619,59605619,100.0,0,0.0
