Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,418592,418592,100.0,0,0.0
2,APLZL_ORD,418592,418592,100.0,0,0.0
3,LSTAR,418592,418592,100.0,0,0.0
4,KBLPOS,418592,418592,100.0,0,0.0
5,KBLNR,418592,418592,100.0,0,0.0
6,NAVNW,418592,418592,100.0,0,0.0
7,TXJCD,418592,418592,100.0,0,0.0
8,MWSKZ,418592,418592,100.0,0,0.0
9,AUFPL_ORD,418592,418592,100.0,0,0.0
10,GRANT_NBR,418592,418592,100.0,0,0.0
11,DABRZ,418592,418592,100.0,0,0.0
12,FKBER,418592,418592,100.0,0,0.0
13,GEBER,418592,418592,100.0,0,0.0
14,FISTL,418592,418592,100.0,0,0.0
15,ZZDUMMY,418592,418592,100.0,0,0.0
16,RECID,418592,418592,100.0,0,0.0
17,PRZNR,418592,418592,100.0,0,0.0
18,BUDGET_PD,418592,418592,100.0,0,0.0
19,VPTNR,418592,418592,100.0,0,0.0
20,EGRUP,418592,418592,100.0,0,0.0
21,HASDIFFOPTRATE,418592,418592,100.0,0,0.0
22,DIFFOPTRATE,418592,418592,100.0,0,0.0
23,NOTAXCORR,418592,418592,100.0,0,0.0
24,DATEOFSERVICE,418592,418592,100.0,0,0.0
25,TCOBJNR,418592,418592,100.0,0,0.0
26,VNAME,418592,418592,100.0,0,0.0
27,FMFGUS_KEY,418592,418592,100.0,0,0.0
28,FM_SPLIT_BATCH,418592,418592,100.0,0,0.0
29,MENGE_F,418592,418592,100.0,0,0.0
30,AA_FINAL_QTY_F,418592,418592,100.0,0,0.0
31,AA_FINAL_QTY,418592,418592,100.0,0,0.0
32,AA_FINAL_REASON,418592,418592,100.0,0,0.0
33,AA_FINAL_IND,418592,418592,100.0,0,0.0
34,FM_SPLIT_BEGRU,418592,418592,100.0,0,0.0
35,FIPOS,418592,418592,100.0,0,0.0
36,APLZL,418592,418592,100.0,0,0.0
37,EBELN,418592,418592,100.0,0,0.0
38,NETWR,418592,418592,100.0,0,0.0
39,VBELP,418592,418592,100.0,0,0.0
40,VBELN,418592,418592,100.0,0,0.0
41,PROJN,418592,418592,100.0,0,0.0
42,KOSTL,418592,418592,100.0,0,0.0
43,GSBER,418592,418592,100.0,0,0.0
44,SAKTO,418592,418592,100.0,0,0.0
45,VPROZ,418592,418592,100.0,0,0.0
46,KZBRB,418592,418592,100.0,0,0.0
47,MENGE,418592,418592,100.0,0,0.0
48,KFLAG,418592,418592,100.0,0,0.0
49,AEDAT,418592,418592,100.0,0,0.0
50,LOEKZ,418592,418592,100.0,0,0.0
51,ZEKKN,418592,418592,100.0,0,0.0
52,EBELP,418592,418592,100.0,0,0.0
53,VETEN,418592,418592,100.0,0,0.0
54,ANLN1,418592,418592,100.0,0,0.0
55,IMKEY,418592,418592,100.0,0,0.0
56,EREKZ,418592,418592,100.0,0,0.0
57,AUFPL,418592,418592,100.0,0,0.0
58,NPLNR,418592,418592,100.0,0,0.0
59,PS_PSP_PNR,418592,418592,100.0,0,0.0
60,PRCTR,418592,418592,100.0,0,0.0
61,PAOBJNR,418592,418592,100.0,0,0.0
62,KSTRG,418592,418592,100.0,0,0.0
63,XBPRO,418592,418592,100.0,0,0.0
64,ANLN2,418592,418592,100.0,0,0.0
65,XBAUF,418592,418592,100.0,0,0.0
66,XBKST,418592,418592,100.0,0,0.0
67,KOKRS,418592,418592,100.0,0,0.0
68,ABLAD,418592,418592,100.0,0,0.0
69,WEMPF,418592,418592,100.0,0,0.0
70,AUFNR,418592,418592,100.0,0,0.0
71,src_commit_time,418592,418592,100.0,0,0.0
