Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,1334751,1334751,100.0,0,0.0
2,CCOMP,1334751,1334751,100.0,0,0.0
3,WEORA,1334751,1334751,100.0,0,0.0
4,KBLPOS,1334751,1334751,100.0,0,0.0
5,KBLNR,1334751,1334751,100.0,0,0.0
6,RESLO,1334751,1334751,100.0,0,0.0
7,STATUS,1334751,1334751,100.0,0,0.0
8,FKBER,1334751,1334751,100.0,0,0.0
9,GRANT_NBR,1334751,1334751,100.0,0,0.0
10,APOMS,1334751,1334751,100.0,0,0.0
11,EBELN,1334751,1334751,100.0,0,0.0
12,XCONDITIONS,1334751,1334751,100.0,0,0.0
13,BERID,1334751,1334751,100.0,0,0.0
14,LEBRE,1334751,1334751,100.0,0,0.0
15,IPRKZ,1334751,1334751,100.0,0,0.0
16,TZONRC,1334751,1334751,100.0,0,0.0
17,AFNAM,1334751,1334751,100.0,0,0.0
18,NOVET,1334751,1334751,100.0,0,0.0
19,SRV_BAS_COM,1334751,1334751,100.0,0,0.0
20,PRIO_URG,1334751,1334751,100.0,0,0.0
21,PRIO_REQ,1334751,1334751,100.0,0,0.0
22,EMPST,1334751,1334751,100.0,0,0.0
23,REASON_CODE,1334751,1334751,100.0,0,0.0
24,SPE_CQ_NOCQ,1334751,1334751,100.0,0,0.0
25,SPE_CQ_CTRLTYPE,1334751,1334751,100.0,0,0.0
26,SPE_INSMK_SRC,1334751,1334751,100.0,0,0.0
27,SPE_CHNG_SYS,1334751,1334751,100.0,0,0.0
28,SPE_CRM_FKREL,1334751,1334751,100.0,0,0.0
29,SPE_CRM_REF_ITEM,1334751,1334751,100.0,0,0.0
30,SPE_CRM_REF_SO,1334751,1334751,100.0,0,0.0
31,SPE_CRM_SO_ITEM,1334751,1334751,100.0,0,0.0
32,SPE_CRM_SO,1334751,1334751,100.0,0,0.0
33,SPE_ABGRU,1334751,1334751,100.0,0,0.0
34,CREATIONTIME,1334751,1334751,100.0,0,0.0
35,CREATIONDATE,1334751,1334751,100.0,0,0.0
36,TRMRISK_RELEVANT,1334751,1334751,100.0,0,0.0
37,DIFF_INVOICE,1334751,1334751,100.0,0,0.0
38,EMNFR,1334751,1334751,100.0,0,0.0
39,MFRNR,1334751,1334751,100.0,0,0.0
40,MFRPN,1334751,1334751,100.0,0,0.0
41,J_1BMATORG,1334751,1334751,100.0,0,0.0
42,J_1BNBM,1334751,1334751,100.0,0,0.0
43,NRFHG,1334751,1334751,100.0,0,0.0
44,MFRGR,1334751,1334751,100.0,0,0.0
45,LFRET,1334751,1334751,100.0,0,0.0
46,BSGRU,1334751,1334751,100.0,0,0.0
47,AUREL,1334751,1334751,100.0,0,0.0
48,RETPO,1334751,1334751,100.0,0,0.0
49,FFZHI,1334751,1334751,100.0,0,0.0
50,MFZHI,1334751,1334751,100.0,0,0.0
51,SIKGR,1334751,1334751,100.0,0,0.0
52,KZWI6,1334751,1334751,100.0,0,0.0
53,KZWI5,1334751,1334751,100.0,0,0.0
54,KZWI4,1334751,1334751,100.0,0,0.0
55,KZWI3,1334751,1334751,100.0,0,0.0
56,KZWI2,1334751,1334751,100.0,0,0.0
57,J_1BMATUSE,1334751,1334751,100.0,0,0.0
58,J_1BOWNPRO,1334751,1334751,100.0,0,0.0
59,CHG_FPLNR,1334751,1334751,100.0,0,0.0
60,J_1BINDUST,1334751,1334751,100.0,0,0.0
61,CHG_SRV,1334751,1334751,100.0,0,0.0
62,TECHS,1334751,1334751,100.0,0,0.0
63,RDPRF,1334751,1334751,100.0,0,0.0
64,KZFME,1334751,1334751,100.0,0,0.0
65,KZTLF,1334751,1334751,100.0,0,0.0
66,EGLKZ,1334751,1334751,100.0,0,0.0
67,MPROF,1334751,1334751,100.0,0,0.0
