Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,35499500,35499500,100.0,0,0.0
2,KRFKZ,35499500,35499500,100.0,0,0.0
3,S_ELSE,35499500,35499500,100.0,0,0.0
4,S_FHM,35499500,35499500,100.0,0,0.0
5,S_SALE,35499500,35499500,100.0,0,0.0
6,S_KONFI,35499500,35499500,100.0,0,0.0
7,S_SERIAL,35499500,35499500,100.0,0,0.0
8,S_EQUI,35499500,35499500,100.0,0,0.0
9,BEGRUI,35499500,35499500,100.0,0,0.0
10,MGANR,35499500,35499500,100.0,0,0.0
11,REVLV,35499500,35499500,100.0,0,0.0
12,IMRC_POINT,35499500,35499500,100.0,0,0.0
13,WARPL,35499500,35499500,100.0,0,0.0
14,KUNDE,35499500,35499500,100.0,0,0.0
15,CHARGE,35499500,35499500,100.0,0,0.0
16,LAGER,35499500,35499500,100.0,0,0.0
17,WERK,35499500,35499500,100.0,0,0.0
18,SERNR,35499500,35499500,100.0,0,0.0
19,MATNR,35499500,35499500,100.0,0,0.0
20,S_ISU,35499500,35499500,100.0,0,0.0
21,S_EQBS,35499500,35499500,100.0,0,0.0
22,S_FLEET,35499500,35499500,100.0,0,0.0
23,IUID_TYPE,35499500,35499500,100.0,0,0.0
24,ENDOFUSE,35499500,35499500,100.0,0,0.0
25,EQLB_HIDE,35499500,35499500,100.0,0,0.0
26,EQLB_DUTY,35499500,35499500,100.0,0,0.0
27,EQUI_SNTYPE,35499500,35499500,100.0,0,0.0
28,EQUI_SRTYPE,35499500,35499500,100.0,0,0.0
29,EQEXT_ACTIVE,35499500,35499500,100.0,0,0.0
30,UII_PLANT,35499500,35499500,100.0,0,0.0
31,UII,35499500,35499500,100.0,0,0.0
32,BSTVP,35499500,35499500,100.0,0,0.0
33,DATLWB,35499500,35499500,100.0,0,0.0
34,S_CC,35499500,35499500,100.0,0,0.0
35,ACT_CHANGE_AA,35499500,35499500,100.0,0,0.0
36,EMATN,35499500,35499500,100.0,0,0.0
37,TSEGTP,35499500,35499500,100.0,0,0.0
38,HANDLE,35499500,35499500,100.0,0,0.0
39,SPARTE,35499500,35499500,100.0,0,0.0
40,KMATN,35499500,35499500,100.0,0,0.0
41,CUOBJ,35499500,35499500,100.0,0,0.0
42,EQUNR,35499500,35499500,100.0,0,0.0
43,EQSNR,35499500,35499500,100.0,0,0.0
44,ELIEF,35499500,35499500,100.0,0,0.0
45,WAERS,35499500,35499500,100.0,0,0.0
46,ANSWT,35499500,35499500,100.0,0,0.0
47,ANSDT,35499500,35499500,100.0,0,0.0
48,GEWEI,35499500,35499500,100.0,0,0.0
49,BRGEW,35499500,35499500,100.0,0,0.0
50,GROES,35499500,35499500,100.0,0,0.0
51,INVNR,35499500,35499500,100.0,0,0.0
52,LVORM,35499500,35499500,100.0,0,0.0
53,EQART,35499500,35499500,100.0,0,0.0
54,EQTYP,35499500,35499500,100.0,0,0.0
55,BEGRU,35499500,35499500,100.0,0,0.0
56,AENAM,35499500,35499500,100.0,0,0.0
57,AEDAT,35499500,35499500,100.0,0,0.0
58,EQASP,35499500,35499500,100.0,0,0.0
59,ERNAM,35499500,35499500,100.0,0,0.0
60,ERDAT,35499500,35499500,100.0,0,0.0
61,GWLEN,35499500,35499500,100.0,0,0.0
62,GWLDT,35499500,35499500,100.0,0,0.0
63,WDBWT,35499500,35499500,100.0,0,0.0
64,INBDT,35499500,35499500,100.0,0,0.0
65,OBJNR,35499500,35499500,100.0,0,0.0
66,EQNUM,35499500,35499500,100.0,0,0.0
67,EQBER,35499500,35499500,100.0,0,0.0
68,EQDAT,35499500,35499500,100.0,0,0.0
69,GWLDV,35499500,35499500,100.0,0,0.0
70,EQLFN,35499500,35499500,100.0,0,0.0
71,GERNR,35499500,35499500,100.0,0,0.0
72,AULDT,35499500,35499500,100.0,0,0.0
73,HERST,35499500,35499500,100.0,0,0.0
74,APLKZ,35499500,35499500,100.0,0,0.0
75,BAUMM,35499500,35499500,100.0,0,0.0
76,BAUJJ,35499500,35499500,100.0,0,0.0
77,TYPBZ,35499500,35499500,100.0,0,0.0
78,SERGE,35499500,35499500,100.0,0,0.0
79,HZEIN,35499500,35499500,100.0,0,0.0
80,HERLD,35499500,35499500,100.0,0,0.0
81,src_commit_time,35499500,35499500,100.0,0,0.0
