Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,99951,99951,100.0,0,0.0
2,PACKNO,99951,99951,100.0,0,0.0
3,VBTYP,99951,99951,100.0,0,0.0
4,POSNR,99951,99951,100.0,0,0.0
5,VBELN,99951,99951,100.0,0,0.0
6,WKURS,99951,99951,100.0,0,0.0
7,INT_USE,99951,99951,100.0,0,0.0
8,SUM_WORK,99951,99951,100.0,0,0.0
9,IWEIN,99951,99951,100.0,0,0.0
10,SUM_NETWR,99951,99951,100.0,0,0.0
11,CUOBJ,99951,99951,100.0,0,0.0
12,WAERS,99951,99951,100.0,0,0.0
13,BSTYP,99951,99951,100.0,0,0.0
14,EBELP,99951,99951,100.0,0,0.0
15,EBELN,99951,99951,100.0,0,0.0
16,KNUMV,99951,99951,100.0,0,0.0
17,HPACKNO,99951,99951,100.0,0,0.0
18,FPACKNO,99951,99951,100.0,0,0.0
19,DEL,99951,99951,100.0,0,0.0
20,src_commit_time,99951,99951,100.0,0,0.0
