Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,RCLNT,97671,97671,100.0,0,0.0
2,RLDNR,97671,97671,100.0,0,0.0
3,HSL06,97671,97671,100.0,0,0.0
4,HSL07,97671,97671,100.0,0,0.0
5,HSL08,97671,97671,100.0,0,0.0
6,HSL09,97671,97671,100.0,0,0.0
7,HSL10,97671,97671,100.0,0,0.0
8,HSL11,97671,97671,100.0,0,0.0
9,HSL12,97671,97671,100.0,0,0.0
10,HSL13,97671,97671,100.0,0,0.0
11,HSL14,97671,97671,100.0,0,0.0
12,HSL15,97671,97671,100.0,0,0.0
13,HSL16,97671,97671,100.0,0,0.0
14,CSPRED,97671,97671,100.0,0,0.0
15,KSLVT,97671,97671,100.0,0,0.0
16,KSL01,97671,97671,100.0,0,0.0
17,KSL02,97671,97671,100.0,0,0.0
18,KSL03,97671,97671,100.0,0,0.0
19,KSL04,97671,97671,100.0,0,0.0
20,KSL05,97671,97671,100.0,0,0.0
21,KSL06,97671,97671,100.0,0,0.0
22,KSL07,97671,97671,100.0,0,0.0
23,KSL08,97671,97671,100.0,0,0.0
24,KSL09,97671,97671,100.0,0,0.0
25,KSL10,97671,97671,100.0,0,0.0
26,KSL11,97671,97671,100.0,0,0.0
27,KSL12,97671,97671,100.0,0,0.0
28,KSL13,97671,97671,100.0,0,0.0
29,KSL14,97671,97671,100.0,0,0.0
30,KSL15,97671,97671,100.0,0,0.0
31,KSL16,97671,97671,100.0,0,0.0
32,HSL05,97671,97671,100.0,0,0.0
33,HSL04,97671,97671,100.0,0,0.0
34,HSL03,97671,97671,100.0,0,0.0
35,TSL04,97671,97671,100.0,0,0.0
36,RRCTY,97671,97671,100.0,0,0.0
37,RVERS,97671,97671,100.0,0,0.0
38,BUKRS,97671,97671,100.0,0,0.0
39,RYEAR,97671,97671,100.0,0,0.0
40,RACCT,97671,97671,100.0,0,0.0
41,RBUSA,97671,97671,100.0,0,0.0
42,RTCUR,97671,97671,100.0,0,0.0
43,DRCRK,97671,97671,100.0,0,0.0
44,RPMAX,97671,97671,100.0,0,0.0
45,TSLVT,97671,97671,100.0,0,0.0
46,TSL01,97671,97671,100.0,0,0.0
47,TSL02,97671,97671,100.0,0,0.0
48,TSL03,97671,97671,100.0,0,0.0
49,TSL05,97671,97671,100.0,0,0.0
50,HSL02,97671,97671,100.0,0,0.0
51,TSL06,97671,97671,100.0,0,0.0
52,TSL07,97671,97671,100.0,0,0.0
53,TSL08,97671,97671,100.0,0,0.0
54,TSL09,97671,97671,100.0,0,0.0
55,TSL10,97671,97671,100.0,0,0.0
56,TSL11,97671,97671,100.0,0,0.0
57,TSL12,97671,97671,100.0,0,0.0
58,TSL13,97671,97671,100.0,0,0.0
59,TSL14,97671,97671,100.0,0,0.0
60,TSL15,97671,97671,100.0,0,0.0
61,TSL16,97671,97671,100.0,0,0.0
62,HSLVT,97671,97671,100.0,0,0.0
63,HSL01,97671,97671,100.0,0,0.0
64,src_commit_time,97671,97671,100.0,0,0.0
