Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,2624,2624,100.0,0,0.0
2,OTJID,2624,2624,100.0,0,0.0
3,ADATANR,2624,2624,100.0,0,0.0
4,PROZT,2624,2624,100.0,0,0.0
5,SOBID,2624,2624,100.0,0,0.0
6,SCLAS,2624,2624,100.0,0,0.0
7,ITXNR,2624,2624,100.0,0,0.0
8,HISTO,2624,2624,100.0,0,0.0
9,REASN,2624,2624,100.0,0,0.0
10,UNAME,2624,2624,100.0,0,0.0
11,AEDTM,2624,2624,100.0,0,0.0
12,SUBTY,2624,2624,100.0,0,0.0
13,INFTY,2624,2624,100.0,0,0.0
14,OTYPE,2624,2624,100.0,0,0.0
15,SEQNR,2624,2624,100.0,0,0.0
16,VARYF,2624,2624,100.0,0,0.0
17,ENDDA,2624,2624,100.0,0,0.0
18,BEGDA,2624,2624,100.0,0,0.0
19,PRIOX,2624,2624,100.0,0,0.0
20,ISTAT,2624,2624,100.0,0,0.0
21,RELAT,2624,2624,100.0,0,0.0
22,RSIGN,2624,2624,100.0,0,0.0
23,PLVAR,2624,2624,100.0,0,0.0
24,OBJID,2624,2624,100.0,0,0.0
25,src_commit_time,2624,2624,100.0,0,0.0
