Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,81407492,81407492,100.0,0,0.0
2,IN_RECNO,81407492,81407492,100.0,0,0.0
3,IN_SEGMCNT,81407492,81407492,100.0,0,0.0
4,SYMBOL_ID,81407492,81407492,100.0,0,0.0
5,ASSTYP,81407492,81407492,100.0,0,0.0
6,ATAUT,81407492,81407492,100.0,0,0.0
7,MSEHI_LOW,81407492,81407492,100.0,0,0.0
8,MSEHI_HIGH,81407492,81407492,100.0,0,0.0
9,ATSRT,81407492,81407492,100.0,0,0.0
10,ATZIS,81407492,81407492,100.0,0,0.0
11,ATIMB,81407492,81407492,100.0,0,0.0
12,src_commit_time,81407492,81407492,100.0,0,0.0
