Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,11233,11233,100.0,0,0.0
2,KUNNR,11233,11233,100.0,0,0.0
3,VKORG,11233,11233,100.0,0,0.0
4,VTWEG,11233,11233,100.0,0,0.0
5,SPART,11233,11233,100.0,0,0.0
6,PARVW,11233,11233,100.0,0,0.0
7,PARZA,11233,11233,100.0,0,0.0
8,KUNN2,11233,11233,100.0,0,0.0
9,LIFNR,11233,11233,100.0,0,0.0
10,PERNR,11233,11233,100.0,0,0.0
11,PARNR,11233,11233,100.0,0,0.0
12,KNREF,11233,11233,100.0,0,0.0
13,DEFPA,11233,11233,100.0,0,0.0
14,src_commit_time,11233,11233,100.0,0,0.0
