Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,mandt,186672,186672,100.0,0,0.0
2,lifnr,186672,186672,100.0,0,0.0
3,um08u,186672,186672,100.0,0,0.0
4,um09s,186672,186672,100.0,0,0.0
5,um09h,186672,186672,100.0,0,0.0
6,um09u,186672,186672,100.0,0,0.0
7,um10s,186672,186672,100.0,0,0.0
8,um10h,186672,186672,100.0,0,0.0
9,um10u,186672,186672,100.0,0,0.0
10,um11s,186672,186672,100.0,0,0.0
11,um11h,186672,186672,100.0,0,0.0
12,um11u,186672,186672,100.0,0,0.0
13,um12s,186672,186672,100.0,0,0.0
14,um12h,186672,186672,100.0,0,0.0
15,um12u,186672,186672,100.0,0,0.0
16,um13s,186672,186672,100.0,0,0.0
17,um13h,186672,186672,100.0,0,0.0
18,um13u,186672,186672,100.0,0,0.0
19,um14s,186672,186672,100.0,0,0.0
20,um14h,186672,186672,100.0,0,0.0
21,um14u,186672,186672,100.0,0,0.0
22,um15s,186672,186672,100.0,0,0.0
23,um15h,186672,186672,100.0,0,0.0
24,um15u,186672,186672,100.0,0,0.0
25,um16s,186672,186672,100.0,0,0.0
26,um16h,186672,186672,100.0,0,0.0
27,um16u,186672,186672,100.0,0,0.0
28,um08h,186672,186672,100.0,0,0.0
29,um08s,186672,186672,100.0,0,0.0
30,um07u,186672,186672,100.0,0,0.0
31,um03s,186672,186672,100.0,0,0.0
32,bukrs,186672,186672,100.0,0,0.0
33,gjahr,186672,186672,100.0,0,0.0
34,erdat,186672,186672,100.0,0,0.0
35,usnam,186672,186672,100.0,0,0.0
36,umsav,186672,186672,100.0,0,0.0
37,um01s,186672,186672,100.0,0,0.0
38,um01h,186672,186672,100.0,0,0.0
39,um01u,186672,186672,100.0,0,0.0
40,um02s,186672,186672,100.0,0,0.0
41,um02h,186672,186672,100.0,0,0.0
42,um02u,186672,186672,100.0,0,0.0
43,um03h,186672,186672,100.0,0,0.0
44,um07h,186672,186672,100.0,0,0.0
45,um03u,186672,186672,100.0,0,0.0
46,um04s,186672,186672,100.0,0,0.0
47,um04h,186672,186672,100.0,0,0.0
48,um04u,186672,186672,100.0,0,0.0
49,um05s,186672,186672,100.0,0,0.0
50,um05h,186672,186672,100.0,0,0.0
51,um05u,186672,186672,100.0,0,0.0
52,um06s,186672,186672,100.0,0,0.0
53,um06h,186672,186672,100.0,0,0.0
54,um06u,186672,186672,100.0,0,0.0
55,um07s,186672,186672,100.0,0,0.0
56,src_commit_time,186672,186672,100.0,0,0.0
