Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,9038597,9038597,100.0,0,0.0
2,FOLAR,9038597,9038597,100.0,0,0.0
3,VLSTK,9038597,9038597,100.0,0,0.0
4,TCODE,9038597,9038597,100.0,0,0.0
5,VSART,9038597,9038597,100.0,0,0.0
6,TRMTYP,9038597,9038597,100.0,0,0.0
7,SDABW,9038597,9038597,100.0,0,0.0
8,VBUND,9038597,9038597,100.0,0,0.0
9,XWOFF,9038597,9038597,100.0,0,0.0
10,DIRTA,9038597,9038597,100.0,0,0.0
11,PRVBE,9038597,9038597,100.0,0,0.0
12,PODAT,9038597,9038597,100.0,0,0.0
13,VERURSYS,9038597,9038597,100.0,0,0.0
14,POTIM,9038597,9038597,100.0,0,0.0
15,VGANZ,9038597,9038597,100.0,0,0.0
16,IMWRK,9038597,9038597,100.0,0,0.0
17,SPE_LOEKZ,9038597,9038597,100.0,0,0.0
18,SPE_LOC_SEQ,9038597,9038597,100.0,0,0.0
19,SPE_ACC_APP_STS,9038597,9038597,100.0,0,0.0
20,SPE_SHP_INF_STS,9038597,9038597,100.0,0,0.0
21,SPE_RET_CANC,9038597,9038597,100.0,0,0.0
22,SPE_WAUHR_IST,9038597,9038597,100.0,0,0.0
23,KZWAB,9038597,9038597,100.0,0,0.0
24,CONT_DG,9038597,9038597,100.0,0,0.0
25,VBELN,9038597,9038597,100.0,0,0.0
26,LGTOR,9038597,9038597,100.0,0,0.0
27,NETWR,9038597,9038597,100.0,0,0.0
28,AULWE,9038597,9038597,100.0,0,0.0
29,WERKS,9038597,9038597,100.0,0,0.0
30,LCNUM,9038597,9038597,100.0,0,0.0
31,ABSSC,9038597,9038597,100.0,0,0.0
32,KOUHR,9038597,9038597,100.0,0,0.0
33,TDUHR,9038597,9038597,100.0,0,0.0
34,LDUHR,9038597,9038597,100.0,0,0.0
35,WAUHR,9038597,9038597,100.0,0,0.0
36,LGBZO,9038597,9038597,100.0,0,0.0
37,TZONRC,9038597,9038597,100.0,0,0.0
38,AKWAE,9038597,9038597,100.0,0,0.0
39,AKKUR,9038597,9038597,100.0,0,0.0
40,AKPRZ,9038597,9038597,100.0,0,0.0
41,PROLI,9038597,9038597,100.0,0,0.0
42,XBLNR,9038597,9038597,100.0,0,0.0
43,HANDLE,9038597,9038597,100.0,0,0.0
44,TSEGFL,9038597,9038597,100.0,0,0.0
45,TSEGTP,9038597,9038597,100.0,0,0.0
46,TZONIS,9038597,9038597,100.0,0,0.0
47,SPE_WAZONE_IST,9038597,9038597,100.0,0,0.0
48,SPE_REV_VLSTK,9038597,9038597,100.0,0,0.0
49,SPE_LE_SCENARIO,9038597,9038597,100.0,0,0.0
50,/BEV1/RPKIST,9038597,9038597,100.0,0,0.0
51,HANDOVERLOC,9038597,9038597,100.0,0,0.0
52,HANDOVERDATE,9038597,9038597,100.0,0,0.0
53,HANDOVERTIME,9038597,9038597,100.0,0,0.0
54,HANDOVERTZONE,9038597,9038597,100.0,0,0.0
55,INCOV,9038597,9038597,100.0,0,0.0
56,INCO2_L,9038597,9038597,100.0,0,0.0
57,INCO3_L,9038597,9038597,100.0,0,0.0
58,/BEV1/LULEINH,9038597,9038597,100.0,0,0.0
