Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,6148276,6148276,100.0,0,0.0
2,MATNR,6148276,6148276,100.0,0,0.0
3,WERKS,6148276,6148276,100.0,0,0.0
4,LGORT,6148276,6148276,100.0,0,0.0
5,LFGJA,6148276,6148276,100.0,0,0.0
6,LFMON,6148276,6148276,100.0,0,0.0
7,LABST,6148276,6148276,100.0,0,0.0
8,UMLME,6148276,6148276,100.0,0,0.0
9,INSME,6148276,6148276,100.0,0,0.0
10,EINME,6148276,6148276,100.0,0,0.0
11,SPEME,6148276,6148276,100.0,0,0.0
12,RETME,6148276,6148276,100.0,0,0.0
13,VKLAB,6148276,6148276,100.0,0,0.0
14,VKUML,6148276,6148276,100.0,0,0.0
15,src_commit_time,6148276,6148276,100.0,0,0.0
