Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,222960,222960,100.0,0,0.0
2,BWVA3,222960,222960,100.0,0,0.0
3,PDATV,222960,222960,100.0,0,0.0
4,PDATL,222960,222960,100.0,0,0.0
5,PDATZ,222960,222960,100.0,0,0.0
6,PPRDV,222960,222960,100.0,0,0.0
7,PPRDL,222960,222960,100.0,0,0.0
8,PPRDZ,222960,222960,100.0,0,0.0
9,KOSGR,222960,222960,100.0,0,0.0
10,HRKFT,222960,222960,100.0,0,0.0
11,VERS3,222960,222960,100.0,0,0.0
12,VERS2,222960,222960,100.0,0,0.0
13,VERS1,222960,222960,100.0,0,0.0
14,BWVA2,222960,222960,100.0,0,0.0
15,VPLPR,222960,222960,100.0,0,0.0
16,BWVA1,222960,222960,100.0,0,0.0
17,KALNR,222960,222960,100.0,0,0.0
18,KALN1,222960,222960,100.0,0,0.0
19,PSTAT,222960,222960,100.0,0,0.0
20,ABWKZ,222960,222960,100.0,0,0.0
21,BWPS1,222960,222960,100.0,0,0.0
22,BWPH1,222960,222960,100.0,0,0.0
23,MYPOL,222960,222960,100.0,0,0.0
24,XLIFO,222960,222960,100.0,0,0.0
25,KALSC,222960,222960,100.0,0,0.0
26,KALKV,222960,222960,100.0,0,0.0
27,EKALR,222960,222960,100.0,0,0.0
28,MLMAA,222960,222960,100.0,0,0.0
29,MATNR,222960,222960,100.0,0,0.0
30,VBWST,222960,222960,100.0,0,0.0
31,OIPPINV,222960,222960,100.0,0,0.0
32,OKLAS,222960,222960,100.0,0,0.0
33,MBRUE,222960,222960,100.0,0,0.0
34,BWPEI,222960,222960,100.0,0,0.0
35,XBEWM,222960,222960,100.0,0,0.0
36,OWNPR,222960,222960,100.0,0,0.0
37,MTORG,222960,222960,100.0,0,0.0
38,MTUSE,222960,222960,100.0,0,0.0
39,QKLAS,222960,222960,100.0,0,0.0
40,EKLAS,222960,222960,100.0,0,0.0
41,FBWST,222960,222960,100.0,0,0.0
42,LBWST,222960,222960,100.0,0,0.0
43,MLAST,222960,222960,100.0,0,0.0
44,FPLPX,222960,222960,100.0,0,0.0
45,VPLPX,222960,222960,100.0,0,0.0
46,LPLPX,222960,222960,100.0,0,0.0
47,BWSPA,222960,222960,100.0,0,0.0
48,ABCIW,222960,222960,100.0,0,0.0
49,WLINL,222960,222960,100.0,0,0.0
50,KZIWL,222960,222960,100.0,0,0.0
51,SPERW,222960,222960,100.0,0,0.0
52,HKMAT,222960,222960,100.0,0,0.0
53,VKSAL,222960,222960,100.0,0,0.0
54,LPLPR,222960,222960,100.0,0,0.0
55,KALKL,222960,222960,100.0,0,0.0
56,KALKZ,222960,222960,100.0,0,0.0
57,PPERV,222960,222960,100.0,0,0.0
58,VMSAL,222960,222960,100.0,0,0.0
59,VJSTP,222960,222960,100.0,0,0.0
60,VJVER,222960,222960,100.0,0,0.0
61,VJVPR,222960,222960,100.0,0,0.0
62,VJSAL,222960,222960,100.0,0,0.0
63,VJKUM,222960,222960,100.0,0,0.0
64,VMSAV,222960,222960,100.0,0,0.0
65,VMBKL,222960,222960,100.0,0,0.0
66,VMPEI,222960,222960,100.0,0,0.0
67,VMSTP,222960,222960,100.0,0,0.0
68,VMVER,222960,222960,100.0,0,0.0
69,VMVPR,222960,222960,100.0,0,0.0
70,VMKUM,222960,222960,100.0,0,0.0
71,PPERL,222960,222960,100.0,0,0.0
72,SALKV,222960,222960,100.0,0,0.0
73,BKLAS,222960,222960,100.0,0,0.0
74,PEINH,222960,222960,100.0,0,0.0
75,STPRS,222960,222960,100.0,0,0.0
76,VERPR,222960,222960,100.0,0,0.0
77,VPRSV,222960,222960,100.0,0,0.0
78,SALK3,222960,222960,100.0,0,0.0
79,LBKUM,222960,222960,100.0,0,0.0
80,LVORM,222960,222960,100.0,0,0.0
81,BWTAR,222960,222960,100.0,0,0.0
82,BWKEY,222960,222960,100.0,0,0.0
83,VJPEI,222960,222960,100.0,0,0.0
84,VJBKL,222960,222960,100.0,0,0.0
85,VJSAV,222960,222960,100.0,0,0.0
86,LFGJA,222960,222960,100.0,0,0.0
87,PPERZ,222960,222960,100.0,0,0.0
88,ZPLD3,222960,222960,100.0,0,0.0
89,ZPLD2,222960,222960,100.0,0,0.0
90,ZPLD1,222960,222960,100.0,0,0.0
91,ZPLP3,222960,222960,100.0,0,0.0
92,ZPLP2,222960,222960,100.0,0,0.0
93,ZPLP1,222960,222960,100.0,0,0.0
94,ZPLPR,222960,222960,100.0,0,0.0
95,VVSAL,222960,222960,100.0,0,0.0
96,VVMLB,222960,222960,100.0,0,0.0
97,VVJLB,222960,222960,100.0,0,0.0
98,VVJSL,222960,222960,100.0,0,0.0
99,VJBWH,222960,222960,100.0,0,0.0
100,VJBWS,222960,222960,100.0,0,0.0
101,BWPRH,222960,222960,100.0,0,0.0
102,BWPRS,222960,222960,100.0,0,0.0
103,TIMESTAMP,222960,222960,100.0,0,0.0
104,ZKDAT,222960,222960,100.0,0,0.0
105,ZKPRS,222960,222960,100.0,0,0.0
106,LAEPR,222960,222960,100.0,0,0.0
107,STPRV,222960,222960,100.0,0,0.0
108,BWTTY,222960,222960,100.0,0,0.0
109,LFMON,222960,222960,100.0,0,0.0
110,src_commit_time,222960,222960,100.0,0,0.0
