Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,4012,4012,100.0,0,0.0
2,CALL_CONFIRM,4012,4012,100.0,0,0.0
3,HORIZ,4012,4012,100.0,0,0.0
4,ANDOR,4012,4012,100.0,0,0.0
5,KNAUT,4012,4012,100.0,0,0.0
6,BEGRU,4012,4012,100.0,0,0.0
7,OBJNR,4012,4012,100.0,0,0.0
8,MPTYP,4012,4012,100.0,0,0.0
9,HUNIT,4012,4012,100.0,0,0.0
10,STADT,4012,4012,100.0,0,0.0
11,SZAEH,4012,4012,100.0,0,0.0
12,PLAN_SORT,4012,4012,100.0,0,0.0
13,STICH,4012,4012,100.0,0,0.0
14,FABKL,4012,4012,100.0,0,0.0
15,PUFFP,4012,4012,100.0,0,0.0
16,PUFFN,4012,4012,100.0,0,0.0
17,START_DATE,4012,4012,100.0,0,0.0
18,START_TIME,4012,4012,100.0,0,0.0
19,CALL_UPDATE_IND,4012,4012,100.0,0,0.0
20,MCP_SF,4012,4012,100.0,0,0.0
21,ENDDT_FOR_SCHED,4012,4012,100.0,0,0.0
22,END_COUNTER,4012,4012,100.0,0,0.0
23,WARPL,4012,4012,100.0,0,0.0
24,TGOON,4012,4012,100.0,0,0.0
25,SFAKT,4012,4012,100.0,0,0.0
26,TONEG,4012,4012,100.0,0,0.0
27,ERKNZ,4012,4012,100.0,0,0.0
28,AEKNZ,4012,4012,100.0,0,0.0
29,ERSDT,4012,4012,100.0,0,0.0
30,ERNAM,4012,4012,100.0,0,0.0
31,AEDAT,4012,4012,100.0,0,0.0
32,AENAM,4012,4012,100.0,0,0.0
33,WPTXT,4012,4012,100.0,0,0.0
34,STRAT,4012,4012,100.0,0,0.0
35,ABRHO,4012,4012,100.0,0,0.0
36,EQUNR,4012,4012,100.0,0,0.0
37,TPLNR,4012,4012,100.0,0,0.0
38,KUNUM,4012,4012,100.0,0,0.0
39,LTKNZ,4012,4012,100.0,0,0.0
40,LVORM,4012,4012,100.0,0,0.0
41,ANZPS,4012,4012,100.0,0,0.0
42,ABNUM,4012,4012,100.0,0,0.0
43,LANGU,4012,4012,100.0,0,0.0
44,VSPOS,4012,4012,100.0,0,0.0
45,VSNEG,4012,4012,100.0,0,0.0
46,TOPOS,4012,4012,100.0,0,0.0
47,src_commit_time,4012,4012,100.0,0,0.0
48,IND_MPLA_API,3435,4012,85.6,577,14.4
49,HORIZ_QUALIFIER,3435,4012,85.6,577,14.4
50,HORIZ_DAYS,3435,4012,85.6,577,14.4
