Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,mandt,2733451,2733451,100.0,0,0.0
2,matnr,2733451,2733451,100.0,0,0.0
3,sabwe,2733451,2733451,100.0,0,0.0
4,sarue,2733451,2733451,100.0,0,0.0
5,satra,2733451,2733451,100.0,0,0.0
6,kzbws,2733451,2733451,100.0,0,0.0
7,ersda,2733451,2733451,100.0,0,0.0
8,saein,2733451,2733451,100.0,0,0.0
9,saspe,2733451,2733451,100.0,0,0.0
10,sains,2733451,2733451,100.0,0,0.0
11,salab,2733451,2733451,100.0,0,0.0
12,lfmon,2733451,2733451,100.0,0,0.0
13,lfgja,2733451,2733451,100.0,0,0.0
14,posnr,2733451,2733451,100.0,0,0.0
15,vbeln,2733451,2733451,100.0,0,0.0
16,sobkz,2733451,2733451,100.0,0,0.0
17,werks,2733451,2733451,100.0,0,0.0
18,src_commit_time,2733451,2733451,100.0,0,0.0
