Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,mandt,1279,1279,100.0,0,0.0
2,matnr,1279,1279,100.0,0,0.0
3,werks,1279,1279,100.0,0,0.0
4,sobkz,1279,1279,100.0,0,0.0
5,lifnr,1279,1279,100.0,0,0.0
6,lfgja,1279,1279,100.0,0,0.0
7,lfmon,1279,1279,100.0,0,0.0
8,sllab,1279,1279,100.0,0,0.0
9,slins,1279,1279,100.0,0,0.0
10,slein,1279,1279,100.0,0,0.0
11,ersda,1279,1279,100.0,0,0.0
12,xobew,1279,1279,100.0,0,0.0
13,sluml,1279,1279,100.0,0,0.0
14,src_commit_time,1279,1279,100.0,0,0.0
