Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,145180057,145180057,100.0,0,0.0
2,SNDCP,145180057,145180057,100.0,0,0.0
3,OUTFL,145180057,145180057,100.0,0,0.0
4,OBJRN,145180057,145180057,100.0,0,0.0
5,OBJRR,145180057,145180057,100.0,0,0.0
6,OBJAC,145180057,145180057,100.0,0,0.0
7,ACALL,145180057,145180057,100.0,0,0.0
8,PRIFB,145180057,145180057,100.0,0,0.0
9,FORFB,145180057,145180057,100.0,0,0.0
10,SNDBC,145180057,145180057,100.0,0,0.0
11,SNDEX,145180057,145180057,100.0,0,0.0
12,KAPPL,145180057,145180057,100.0,0,0.0
13,SNDDR,145180057,145180057,100.0,0,0.0
14,EDITRANS,145180057,145180057,100.0,0,0.0
15,EDIKEY,145180057,145180057,100.0,0,0.0
16,TDSPRAS,145180057,145180057,100.0,0,0.0
17,TDID,145180057,145180057,100.0,0,0.0
18,TDNAME,145180057,145180057,100.0,0,0.0
19,PMID5,145180057,145180057,100.0,0,0.0
20,PMID4,145180057,145180057,100.0,0,0.0
21,OBJSNS,145180057,145180057,100.0,0,0.0
22,OBJPRI,145180057,145180057,100.0,0,0.0
23,OBJCP,145180057,145180057,100.0,0,0.0
24,NAUTO,145180057,145180057,100.0,0,0.0
25,_DATAAGING,145180057,145180057,100.0,0,0.0
26,TLAND,145180057,145180057,100.0,0,0.0
27,TDSCHEDULE,145180057,145180057,100.0,0,0.0
28,OBJTYPE,145180057,145180057,100.0,0,0.0
29,SORT3,145180057,145180057,100.0,0,0.0
30,SORT2,145180057,145180057,100.0,0,0.0
31,SORT1,145180057,145180057,100.0,0,0.0
32,EVENT,145180057,145180057,100.0,0,0.0
33,USRNAM,145180057,145180057,100.0,0,0.0
34,CMFPNR,145180057,145180057,100.0,0,0.0
35,OPTARCNR,145180057,145180057,100.0,0,0.0
36,TDARMOD,145180057,145180057,100.0,0,0.0
37,TDAUTORITY,145180057,145180057,100.0,0,0.0
38,TDCOVTITLE,145180057,145180057,100.0,0,0.0
39,TDOCOVER,145180057,145180057,100.0,0,0.0
40,TDDIVISION,145180057,145180057,100.0,0,0.0
41,TDRECEIVER,145180057,145180057,100.0,0,0.0
42,PMID3,145180057,145180057,100.0,0,0.0
43,PMID2,145180057,145180057,100.0,0,0.0
44,PMID1,145180057,145180057,100.0,0,0.0
45,USNAM,145180057,145180057,100.0,0,0.0
46,UHRVR,145180057,145180057,100.0,0,0.0
47,DATVR,145180057,145180057,100.0,0,0.0
48,MANUE,145180057,145180057,100.0,0,0.0
49,VSURB,145180057,145180057,100.0,0,0.0
50,VSURA,145180057,145180057,100.0,0,0.0
51,VSDAT,145180057,145180057,100.0,0,0.0
52,VSZTP,145180057,145180057,100.0,0,0.0
53,ANZAL,145180057,145180057,100.0,0,0.0
54,NACHA,145180057,145180057,100.0,0,0.0
55,ADRNR,145180057,145180057,100.0,0,0.0
56,ERUHR,145180057,145180057,100.0,0,0.0
57,ERDAT,145180057,145180057,100.0,0,0.0
58,PARVW,145180057,145180057,100.0,0,0.0
59,PARNR,145180057,145180057,100.0,0,0.0
60,SPRAS,145180057,145180057,100.0,0,0.0
61,KSCHL,145180057,145180057,100.0,0,0.0
62,OBJKY,145180057,145180057,100.0,0,0.0
63,DATRE,145180057,145180057,100.0,0,0.0
64,VSTAT,145180057,145180057,100.0,0,0.0
65,PFLD5,145180057,145180057,100.0,0,0.0
66,AKTIV,145180057,145180057,100.0,0,0.0
67,PFLD4,145180057,145180057,100.0,0,0.0
68,PFLD3,145180057,145180057,100.0,0,0.0
69,PFLD2,145180057,145180057,100.0,0,0.0
70,PFLD1,145180057,145180057,100.0,0,0.0
71,REPID,145180057,145180057,100.0,0,0.0
72,REPET,145180057,145180057,100.0,0,0.0
73,AENDE,145180057,145180057,100.0,0,0.0
74,TELTX,145180057,145180057,100.0,0,0.0
75,TELX1,145180057,145180057,100.0,0,0.0
76,TELFX,145180057,145180057,100.0,0,0.0
77,DELET,145180057,145180057,100.0,0,0.0
78,DIMME,145180057,145180057,100.0,0,0.0
79,DSUF2,145180057,145180057,100.0,0,0.0
80,DSUF1,145180057,145180057,100.0,0,0.0
81,DSNAM,145180057,145180057,100.0,0,0.0
82,LDEST,145180057,145180057,100.0,0,0.0
83,TCODE,145180057,145180057,100.0,0,0.0
84,src_commit_time,145180057,145180057,100.0,0,0.0
