Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,51289,51289,100.0,0,0.0
2,PLNTY,51289,51289,100.0,0,0.0
3,KNOBJ,51289,51289,100.0,0,0.0
4,AUSCHL,51289,51289,100.0,0,0.0
5,BSCHL2,51289,51289,100.0,0,0.0
6,BSCHL1,51289,51289,100.0,0,0.0
7,LOSBS,51289,51289,100.0,0,0.0
8,LOSVN,51289,51289,100.0,0,0.0
9,TXTSP,51289,51289,100.0,0,0.0
10,LTXA1,51289,51289,100.0,0,0.0
11,BKNT2,51289,51289,100.0,0,0.0
12,BKNT1,51289,51289,100.0,0,0.0
13,BEZFL,51289,51289,100.0,0,0.0
14,FLGAT,51289,51289,100.0,0,0.0
15,AENAM,51289,51289,100.0,0,0.0
16,AEDAT,51289,51289,100.0,0,0.0
17,ANNAM,51289,51289,100.0,0,0.0
18,ANDAT,51289,51289,100.0,0,0.0
19,PARKZ,51289,51289,100.0,0,0.0
20,LOEKZ,51289,51289,100.0,0,0.0
21,AENNR,51289,51289,100.0,0,0.0
22,TECHV,51289,51289,100.0,0,0.0
23,DATUV,51289,51289,100.0,0,0.0
24,ZAEHL,51289,51289,100.0,0,0.0
25,PLNFL,51289,51289,100.0,0,0.0
26,PLNAL,51289,51289,100.0,0,0.0
27,PLNNR,51289,51289,100.0,0,0.0
28,src_commit_time,51289,51289,100.0,0,0.0
