Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,51269,51269,100.0,0,0.0
2,STUPR,51269,51269,100.0,0,0.0
3,TTRAS,51269,51269,100.0,0,0.0
4,PSPNR,51269,51269,100.0,0,0.0
5,FLG_CHK,51269,51269,100.0,0,0.0
6,NETID,51269,51269,100.0,0,0.0
7,REODAT,51269,51269,100.0,0,0.0
8,PRTYP,51269,51269,100.0,0,0.0
9,CLNDR,51269,51269,100.0,0,0.0
10,ARBTY,51269,51269,100.0,0,0.0
11,PLNNR_ALT,51269,51269,100.0,0,0.0
12,DELKZ,51269,51269,100.0,0,0.0
13,EXTNUM,51269,51269,100.0,0,0.0
14,ARBID,51269,51269,100.0,0,0.0
15,ANLZU,51269,51269,100.0,0,0.0
16,IWERK,51269,51269,100.0,0,0.0
17,ISTRU,51269,51269,100.0,0,0.0
18,PPOOL,51269,51269,100.0,0,0.0
19,KZKFG,51269,51269,100.0,0,0.0
20,FLG_CAPO,51269,51269,100.0,0,0.0
21,PLNTY,51269,51269,100.0,0,0.0
22,UMREZ,51269,51269,100.0,0,0.0
23,TL_EXTID,51269,51269,100.0,0,0.0
24,XHIERTL,51269,51269,100.0,0,0.0
25,MES_ROUTINGID,51269,51269,100.0,0,0.0
26,MS_FLAG,51269,51269,100.0,0,0.0
27,ADPSP,51269,51269,100.0,0,0.0
28,BMSCH,51269,51269,100.0,0,0.0
29,UMREN,51269,51269,100.0,0,0.0
30,MEINH,51269,51269,100.0,0,0.0
31,STLTY,51269,51269,100.0,0,0.0
32,ST_ARBID,51269,51269,100.0,0,0.0
33,CCOAA,51269,51269,100.0,0,0.0
34,CHRULE,51269,51269,100.0,0,0.0
35,PPKZTLZU,51269,51269,100.0,0,0.0
36,SLWBEZ,51269,51269,100.0,0,0.0
37,STLAL,51269,51269,100.0,0,0.0
38,STLNR,51269,51269,100.0,0,0.0
39,STRAT,51269,51269,100.0,0,0.0
40,QDYNSTRING,51269,51269,100.0,0,0.0
41,QKZRASTER,51269,51269,100.0,0,0.0
42,ANDAT,51269,51269,100.0,0,0.0
43,PLNME,51269,51269,100.0,0,0.0
44,STATU,51269,51269,100.0,0,0.0
45,WERKS,51269,51269,100.0,0,0.0
46,VERWE,51269,51269,100.0,0,0.0
47,AENAM,51269,51269,100.0,0,0.0
48,AEDAT,51269,51269,100.0,0,0.0
49,ANNAM,51269,51269,100.0,0,0.0
50,PARKZ,51269,51269,100.0,0,0.0
51,QVERSNPRZV,51269,51269,100.0,0,0.0
52,LOEKZ,51269,51269,100.0,0,0.0
53,AENNR,51269,51269,100.0,0,0.0
54,TECHV,51269,51269,100.0,0,0.0
55,DATUV,51269,51269,100.0,0,0.0
56,ZAEHL,51269,51269,100.0,0,0.0
57,PLNAL,51269,51269,100.0,0,0.0
58,PLNNR,51269,51269,100.0,0,0.0
59,LOSVN,51269,51269,100.0,0,0.0
60,LOSBS,51269,51269,100.0,0,0.0
61,VAGRP,51269,51269,100.0,0,0.0
62,AESZN,51269,51269,100.0,0,0.0
63,QPRZIEHVER,51269,51269,100.0,0,0.0
64,QDYNHEAD,51269,51269,100.0,0,0.0
65,QDYNREGEL,51269,51269,100.0,0,0.0
66,QVECODE,51269,51269,100.0,0,0.0
67,QVEGRUPPE,51269,51269,100.0,0,0.0
68,QVEDATUM,51269,51269,100.0,0,0.0
69,QVEVERSION,51269,51269,100.0,0,0.0
70,QVEMENGE,51269,51269,100.0,0,0.0
71,QVEWERKS,51269,51269,100.0,0,0.0
72,KOKRS,51269,51269,100.0,0,0.0
73,PROFIDNETZ,51269,51269,100.0,0,0.0
74,ABANZ,51269,51269,100.0,0,0.0
75,ABDAT,51269,51269,100.0,0,0.0
76,TXTSP,51269,51269,100.0,0,0.0
77,KTEXT,51269,51269,100.0,0,0.0
78,src_commit_time,51269,51269,100.0,0,0.0
79,TSTMP_BW,36772,51269,71.7,14497,28.3
