Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,42395,42395,100.0,0,0.0
2,VBKEZ,42395,42395,100.0,0,0.0
3,VMGW2,42395,42395,100.0,0,0.0
4,TWERT,42395,42395,100.0,0,0.0
5,VMTWE,42395,42395,100.0,0,0.0
6,PRMAD,42395,42395,100.0,0,0.0
7,VMMAD,42395,42395,100.0,0,0.0
8,FSUMM,42395,42395,100.0,0,0.0
9,VMFSU,42395,42395,100.0,0,0.0
10,GEWGR,42395,42395,100.0,0,0.0
11,THKOF,42395,42395,100.0,0,0.0
12,AUSNA,42395,42395,100.0,0,0.0
13,PROAB,42395,42395,100.0,0,0.0
14,STATU,42395,42395,100.0,0,0.0
15,VMGWE,42395,42395,100.0,0,0.0
16,VETXT,42395,42395,100.0,0,0.0
17,PRWUG,42395,42395,100.0,0,0.0
18,PRWOG,42395,42395,100.0,0,0.0
19,PRROS,42395,42395,100.0,0,0.0
20,PRKUM,42395,42395,100.0,0,0.0
21,PRZGF,42395,42395,100.0,0,0.0
22,AKTPE,42395,42395,100.0,0,0.0
23,FAUSR,42395,42395,100.0,0,0.0
24,SIGMA,42395,42395,100.0,0,0.0
25,FLGEXC,42395,42395,100.0,0,0.0
26,FLGCOR,42395,42395,100.0,0,0.0
27,VMGW1,42395,42395,100.0,0,0.0
28,GWER2,42395,42395,100.0,0,0.0
29,PNUM1,42395,42395,100.0,0,0.0
30,BETA1,42395,42395,100.0,0,0.0
31,HSNUM,42395,42395,100.0,0,0.0
32,VERSP,42395,42395,100.0,0,0.0
33,PNUM2,42395,42395,100.0,0,0.0
34,PROPR,42395,42395,100.0,0,0.0
35,MODAW,42395,42395,100.0,0,0.0
36,MODAV,42395,42395,100.0,0,0.0
37,KZPAR,42395,42395,100.0,0,0.0
38,OPGRA,42395,42395,100.0,0,0.0
39,KZINI,42395,42395,100.0,0,0.0
40,PRMOD,42395,42395,100.0,0,0.0
41,ALPHA,42395,42395,100.0,0,0.0
42,GAMMA,42395,42395,100.0,0,0.0
43,GWER1,42395,42395,100.0,0,0.0
44,DELTA,42395,42395,100.0,0,0.0
45,EPSIL,42395,42395,100.0,0,0.0
46,SIGGR,42395,42395,100.0,0,0.0
47,PRDAT,42395,42395,100.0,0,0.0
48,PERAN,42395,42395,100.0,0,0.0
49,PERIN,42395,42395,100.0,0,0.0
50,PERIO,42395,42395,100.0,0,0.0
51,PEREX,42395,42395,100.0,0,0.0
52,ANZPR,42395,42395,100.0,0,0.0
53,FIMON,42395,42395,100.0,0,0.0
54,GWERT,42395,42395,100.0,0,0.0
55,src_commit_time,42395,42395,100.0,0,0.0
