Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,650465,650465,100.0,0,0.0
2,PROFIL_TYP,650465,650465,100.0,0,0.0
3,HANDLE,650465,650465,100.0,0,0.0
4,TSEGFL,650465,650465,100.0,0,0.0
5,TSEGTP,650465,650465,100.0,0,0.0
6,TZONSO,650465,650465,100.0,0,0.0
7,TZONID,650465,650465,100.0,0,0.0
8,FUNKTION,650465,650465,100.0,0,0.0
9,/SAPSMOSS/INSTN,650465,650465,100.0,0,0.0
10,/SAPSMOSS/MNUMM,650465,650465,100.0,0,0.0
11,/SAPSMOSS/OSSYS,650465,650465,100.0,0,0.0
12,/SAPSMOSS/DBSYS,650465,650465,100.0,0,0.0
13,/SAPSMOSS/REL,650465,650465,100.0,0,0.0
14,/SAPSMOSS/COMP,650465,650465,100.0,0,0.0
15,/SAPSMOSS/FRONT,650465,650465,100.0,0,0.0
16,/SAPSMOSS/SYSTYP,650465,650465,100.0,0,0.0
17,/SAPSMOSS/ADDID,650465,650465,100.0,0,0.0
18,/SAPSMOSS/ADDREL,650465,650465,100.0,0,0.0
19,/SAPSMOSS/TSTMP,650465,650465,100.0,0,0.0
20,PROFIL_ID,650465,650465,100.0,0,0.0
21,BEDZL,650465,650465,100.0,0,0.0
22,/SAPSMOSS/ERDAT,650465,650465,100.0,0,0.0
23,BEDID,650465,650465,100.0,0,0.0
24,MGEIN,650465,650465,100.0,0,0.0
25,BZMNG,650465,650465,100.0,0,0.0
26,RKMNG,650465,650465,100.0,0,0.0
27,RGMNG,650465,650465,100.0,0,0.0
28,RKDAT,650465,650465,100.0,0,0.0
29,COAUFNR,650465,650465,100.0,0,0.0
30,QWRNUM,650465,650465,100.0,0,0.0
31,REFNUM,650465,650465,100.0,0,0.0
32,KDMAT,650465,650465,100.0,0,0.0
33,IDNLF,650465,650465,100.0,0,0.0
34,SERIALNR,650465,650465,100.0,0,0.0
35,KZLOESCH,650465,650465,100.0,0,0.0
36,PRODDAT,650465,650465,100.0,0,0.0
37,DEVICEID,650465,650465,100.0,0,0.0
38,VKBUR,650465,650465,100.0,0,0.0
39,VKGRP,650465,650465,100.0,0,0.0
40,AUTKZ,650465,650465,100.0,0,0.0
41,/SAPSMOSS/STATUS,650465,650465,100.0,0,0.0
42,/SAPSMOSS/ERZEIT,650465,650465,100.0,0,0.0
43,MGEIG,650465,650465,100.0,0,0.0
44,SHN_OBJID,650465,650465,100.0,0,0.0
45,SHN_EQUIPMENT,650465,650465,100.0,0,0.0
46,SHN_ORIGIN,650465,650465,100.0,0,0.0
47,UII,650465,650465,100.0,0,0.0
48,ZQMPMAT,650465,650465,100.0,0,0.0
49,ZQMPSRNUM,650465,650465,100.0,0,0.0
50,ZQMNPTTAG,650465,650465,100.0,0,0.0
51,ZQMCSONUM,650465,650465,100.0,0,0.0
52,ZQMTEST,650465,650465,100.0,0,0.0
53,ZQMDCODE,650465,650465,100.0,0,0.0
54,ZQMLOTNUM,650465,650465,100.0,0,0.0
55,Z_PARTCLS,650465,650465,100.0,0,0.0
56,ZQMIDENTIFIER,650465,650465,100.0,0,0.0
57,ZQMSTPRS,650465,650465,100.0,0,0.0
58,ZQMWAERS,650465,650465,100.0,0,0.0
59,ZQMRKMNG,650465,650465,100.0,0,0.0
60,ZQMPEINH,650465,650465,100.0,0,0.0
61,ZQMWAERS1,650465,650465,100.0,0,0.0
62,SHN_FUNCT_LOC,650465,650465,100.0,0,0.0
63,SHN_OBJTY,650465,650465,100.0,0,0.0
64,/SAPSMOSS/SYSID,650465,650465,100.0,0,0.0
65,/ISDFPS/MEQUI,650465,650465,100.0,0,0.0
66,/SAPSMOSS/MANDT,650465,650465,100.0,0,0.0
67,PSP_NR,650465,650465,100.0,0,0.0
68,ESTIMATED_COSTS,650465,650465,100.0,0,0.0
69,CLAIMED_COSTS,650465,650465,100.0,0,0.0
70,RESULT_COSTS,650465,650465,100.0,0,0.0
71,CHANCE,650465,650465,100.0,0,0.0
72,OPPONENT,650465,650465,100.0,0,0.0
73,KALNR,650465,650465,100.0,0,0.0
74,KALVAR,650465,650465,100.0,0,0.0
75,OBJNR_REAL,650465,650465,100.0,0,0.0
76,OBJNR_STAT,650465,650465,100.0,0,0.0
77,PHASE,650465,650465,100.0,0,0.0
78,/ISDFPS/MHIO_ADDATE,650465,650465,100.0,0,0.0
79,/ISDFPS/MHIO_ADTIME,650465,650465,100.0,0,0.0
80,/ISDFPS/USERMODE,650465,650465,100.0,0,0.0
81,/ISDFPS/OBJNR,650465,650465,100.0,0,0.0
82,LOGSYSTEM,650465,650465,100.0,0,0.0
83,MGFRD,650465,650465,100.0,0,0.0
84,PNLKN,650465,650465,100.0,0,0.0
85,QMNUM,650465,650465,100.0,0,0.0
86,RM_WERKS,650465,650465,100.0,0,0.0
87,MATNR,650465,650465,100.0,0,0.0
88,REVLV,650465,650465,100.0,0,0.0
89,MATKL,650465,650465,100.0,0,0.0
90,PRDHA,650465,650465,100.0,0,0.0
91,KZKRI,650465,650465,100.0,0,0.0
92,KZDKZ,650465,650465,100.0,0,0.0
93,KUNUM,650465,650465,100.0,0,0.0
94,FEKNZ,650465,650465,100.0,0,0.0
95,MAKNZ,650465,650465,100.0,0,0.0
96,OBJNR,650465,650465,100.0,0,0.0
97,QMDAB,650465,650465,100.0,0,0.0
98,QMZAB,650465,650465,100.0,0,0.0
99,RBNR,650465,650465,100.0,0,0.0
100,RBNRI,650465,650465,100.0,0,0.0
101,INDTX,650465,650465,100.0,0,0.0
102,KZMLA,650465,650465,100.0,0,0.0
103,HERKZ,650465,650465,100.0,0,0.0
104,SA_AUFNR,650465,650465,100.0,0,0.0
105,RM_MATNR,650465,650465,100.0,0,0.0
106,BEZUR,650465,650465,100.0,0,0.0
107,VERID,650465,650465,100.0,0,0.0
108,QMART,650465,650465,100.0,0,0.0
109,QMTXT,650465,650465,100.0,0,0.0
110,ARTPR,650465,650465,100.0,0,0.0
111,PRIOK,650465,650465,100.0,0,0.0
112,ERNAM,650465,650465,100.0,0,0.0
113,ERDAT,650465,650465,100.0,0,0.0
114,AENAM,650465,650465,100.0,0,0.0
115,AEDAT,650465,650465,100.0,0,0.0
116,MZEIT,650465,650465,100.0,0,0.0
117,QMDAT,650465,650465,100.0,0,0.0
118,QMNAM,650465,650465,100.0,0,0.0
119,STRMN,650465,650465,100.0,0,0.0
120,STRUR,650465,650465,100.0,0,0.0
121,LTRMN,650465,650465,100.0,0,0.0
122,LTRUR,650465,650465,100.0,0,0.0
123,WAERS,650465,650465,100.0,0,0.0
124,AUFNR,650465,650465,100.0,0,0.0
125,BEZDT,650465,650465,100.0,0,0.0
126,LIFNUM,650465,650465,100.0,0,0.0
127,FEART,650465,650465,100.0,0,0.0
128,HERSTELLER,650465,650465,100.0,0,0.0
129,EKORG,650465,650465,100.0,0,0.0
130,BKGRP,650465,650465,100.0,0,0.0
131,LGORTVORG,650465,650465,100.0,0,0.0
132,FERTAUFNR,650465,650465,100.0,0,0.0
133,FERTAUFPL,650465,650465,100.0,0,0.0
134,EBELN,650465,650465,100.0,0,0.0
135,EBELP,650465,650465,100.0,0,0.0
136,MJAHR,650465,650465,100.0,0,0.0
137,MBLNR,650465,650465,100.0,0,0.0
138,MBLPO,650465,650465,100.0,0,0.0
139,LS_KDAUF,650465,650465,100.0,0,0.0
140,LS_KDPOS,650465,650465,100.0,0,0.0
141,LS_VBELN,650465,650465,100.0,0,0.0
142,LS_POSNR,650465,650465,100.0,0,0.0
143,CROBJTY,650465,650465,100.0,0,0.0
