Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,1080565,1080565,100.0,0,0.0
2,INFNR,1080565,1080565,100.0,0,0.0
3,PHYNR,1080565,1080565,100.0,0,0.0
4,PRUEFLINR,1080565,1080565,100.0,0,0.0
5,CROBJTY,1080565,1080565,100.0,0,0.0
6,ARBPL,1080565,1080565,100.0,0,0.0
7,ARBPLWERK,1080565,1080565,100.0,0,0.0
8,FENUMORG,1080565,1080565,100.0,0,0.0
9,KZSYSFE,1080565,1080565,100.0,0,0.0
10,KZLOESCH,1080565,1080565,100.0,0,0.0
11,POSNR,1080565,1080565,100.0,0,0.0
12,HERPOS,1080565,1080565,100.0,0,0.0
13,AUTKZ,1080565,1080565,100.0,0,0.0
14,MATNR,1080565,1080565,100.0,0,0.0
15,WERKS,1080565,1080565,100.0,0,0.0
16,EKORG,1080565,1080565,100.0,0,0.0
17,KOSTL,1080565,1080565,100.0,0,0.0
18,MERKNR,1080565,1080565,100.0,0,0.0
19,LSTAR,1080565,1080565,100.0,0,0.0
20,PRZNR,1080565,1080565,100.0,0,0.0
21,MENGE,1080565,1080565,100.0,0,0.0
22,EQUNR,1080565,1080565,100.0,0,0.0
23,TPLNR,1080565,1080565,100.0,0,0.0
24,ZZSERIALNR,1080565,1080565,100.0,0,0.0
25,ZZREFDESTXT,1080565,1080565,100.0,0,0.0
26,ZZTIER2PART,1080565,1080565,100.0,0,0.0
27,ZZTIER2SERIAL,1080565,1080565,100.0,0,0.0
28,ZZCOMPART,1080565,1080565,100.0,0,0.0
29,ZZQMEDHRDCD,1080565,1080565,100.0,0,0.0
30,ZZURGRP,1080565,1080565,100.0,0,0.0
31,ZZURCOD,1080565,1080565,100.0,0,0.0
32,ZZQTXTCDGRUR,1080565,1080565,100.0,0,0.0
33,PROBENR,1080565,1080565,100.0,0,0.0
34,PNLKN,1080565,1080565,100.0,0,0.0
35,QMNUM,1080565,1080565,100.0,0,0.0
36,BAUTL,1080565,1080565,100.0,0,0.0
37,FENUM,1080565,1080565,100.0,0,0.0
38,ERNAM,1080565,1080565,100.0,0,0.0
39,ERDAT,1080565,1080565,100.0,0,0.0
40,AENAM,1080565,1080565,100.0,0,0.0
41,AEDAT,1080565,1080565,100.0,0,0.0
42,FETXT,1080565,1080565,100.0,0,0.0
43,FEKAT,1080565,1080565,100.0,0,0.0
44,FEGRP,1080565,1080565,100.0,0,0.0
45,FECOD,1080565,1080565,100.0,0,0.0
46,FEVER,1080565,1080565,100.0,0,0.0
47,OTKAT,1080565,1080565,100.0,0,0.0
48,OTGRP,1080565,1080565,100.0,0,0.0
49,OTEIL,1080565,1080565,100.0,0,0.0
50,OTVER,1080565,1080565,100.0,0,0.0
51,EBORT,1080565,1080565,100.0,0,0.0
52,FEART,1080565,1080565,100.0,0,0.0
53,INDTX,1080565,1080565,100.0,0,0.0
54,KZMLA,1080565,1080565,100.0,0,0.0
55,ERZEIT,1080565,1080565,100.0,0,0.0
56,AEZEIT,1080565,1080565,100.0,0,0.0
57,KZORG,1080565,1080565,100.0,0,0.0
58,WDFEH,1080565,1080565,100.0,0,0.0
59,FEQKLAS,1080565,1080565,100.0,0,0.0
60,FCOAUFNR,1080565,1080565,100.0,0,0.0
61,FMGFRD,1080565,1080565,100.0,0,0.0
62,FMGEIG,1080565,1080565,100.0,0,0.0
63,FMGEIN,1080565,1080565,100.0,0,0.0
64,ANZFEHLER,1080565,1080565,100.0,0,0.0
65,FEHLBEW,1080565,1080565,100.0,0,0.0
66,UNITFLBEW,1080565,1080565,100.0,0,0.0
67,src_commit_time,1080565,1080565,100.0,0,0.0
