Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,1990391,1990391,100.0,0,0.0
2,KZACTIONBOX,1990391,1990391,100.0,0,0.0
3,MMENGE,1990391,1990391,100.0,0,0.0
4,MMGEIN,1990391,1990391,100.0,0,0.0
5,BAUTL,1990391,1990391,100.0,0,0.0
6,KZLOESCH,1990391,1990391,100.0,0,0.0
7,QSMNUM,1990391,1990391,100.0,0,0.0
8,AUTKZ,1990391,1990391,100.0,0,0.0
9,HANDLE,1990391,1990391,100.0,0,0.0
10,TSEGFL,1990391,1990391,100.0,0,0.0
11,TSEGTP,1990391,1990391,100.0,0,0.0
12,TZONSO,1990391,1990391,100.0,0,0.0
13,TZONSM,1990391,1990391,100.0,0,0.0
14,TZONID,1990391,1990391,100.0,0,0.0
15,FUNKTION,1990391,1990391,100.0,0,0.0
16,QMNUM,1990391,1990391,100.0,0,0.0
17,/SAPSMOSS/NOTE,1990391,1990391,100.0,0,0.0
18,/SAPSMOSS/REPORT,1990391,1990391,100.0,0,0.0
19,/SAPSMOSS/MTSTMP,1990391,1990391,100.0,0,0.0
20,ABC_TEMPL,1990391,1990391,100.0,0,0.0
21,EFFECTPERC,1990391,1990391,100.0,0,0.0
22,EFFECTTEXT,1990391,1990391,100.0,0,0.0
23,ZQMREPMAT,1990391,1990391,100.0,0,0.0
24,ZQMREFDES,1990391,1990391,100.0,0,0.0
25,ZQMVENC,1990391,1990391,100.0,0,0.0
26,ZQMTIME,1990391,1990391,100.0,0,0.0
27,TIMEBASEDEFFORT,1990391,1990391,100.0,0,0.0
28,TIMEBASEDEFFORTUOM,1990391,1990391,100.0,0,0.0
29,PARNR,1990391,1990391,100.0,0,0.0
30,PARVW,1990391,1990391,100.0,0,0.0
31,AEZEIT,1990391,1990391,100.0,0,0.0
32,ERZEIT,1990391,1990391,100.0,0,0.0
33,MANUM,1990391,1990391,100.0,0,0.0
34,MNKAT,1990391,1990391,100.0,0,0.0
35,MNGRP,1990391,1990391,100.0,0,0.0
36,MNCOD,1990391,1990391,100.0,0,0.0
37,MNVER,1990391,1990391,100.0,0,0.0
38,FOLGEACT,1990391,1990391,100.0,0,0.0
39,FOLACTPROT,1990391,1990391,100.0,0,0.0
40,MATXT,1990391,1990391,100.0,0,0.0
41,ERNAM,1990391,1990391,100.0,0,0.0
42,ERDAT,1990391,1990391,100.0,0,0.0
43,AENAM,1990391,1990391,100.0,0,0.0
44,AEDAT,1990391,1990391,100.0,0,0.0
45,PSTER,1990391,1990391,100.0,0,0.0
46,PETER,1990391,1990391,100.0,0,0.0
47,OBJNR,1990391,1990391,100.0,0,0.0
48,INDTX,1990391,1990391,100.0,0,0.0
49,KZMLA,1990391,1990391,100.0,0,0.0
50,PSTUR,1990391,1990391,100.0,0,0.0
51,PETUR,1990391,1990391,100.0,0,0.0
52,ERLNAM,1990391,1990391,100.0,0,0.0
53,ERLDAT,1990391,1990391,100.0,0,0.0
54,ERLZEIT,1990391,1990391,100.0,0,0.0
55,WDVDAT,1990391,1990391,100.0,0,0.0
56,FENUM,1990391,1990391,100.0,0,0.0
57,URNUM,1990391,1990391,100.0,0,0.0
58,src_commit_time,1990391,1990391,100.0,0,0.0
