Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,1072077,1072077,100.0,0,0.0
2,QMNUM,1072077,1072077,100.0,0,0.0
3,INVOLVPERC,1072077,1072077,100.0,0,0.0
4,AUTKZ,1072077,1072077,100.0,0,0.0
5,QURNUM,1072077,1072077,100.0,0,0.0
6,KZLOESCH,1072077,1072077,100.0,0,0.0
7,URMGEIN,1072077,1072077,100.0,0,0.0
8,URMENGE,1072077,1072077,100.0,0,0.0
9,BAUTL,1072077,1072077,100.0,0,0.0
10,PARNR,1072077,1072077,100.0,0,0.0
11,PARVW,1072077,1072077,100.0,0,0.0
12,VUCOD,1072077,1072077,100.0,0,0.0
13,VUGRP,1072077,1072077,100.0,0,0.0
14,VUKAT,1072077,1072077,100.0,0,0.0
15,AEZEIT,1072077,1072077,100.0,0,0.0
16,ERZEIT,1072077,1072077,100.0,0,0.0
17,KZMLA,1072077,1072077,100.0,0,0.0
18,INDTX,1072077,1072077,100.0,0,0.0
19,URVER,1072077,1072077,100.0,0,0.0
20,URCOD,1072077,1072077,100.0,0,0.0
21,URGRP,1072077,1072077,100.0,0,0.0
22,URKAT,1072077,1072077,100.0,0,0.0
23,URTXT,1072077,1072077,100.0,0,0.0
24,AEDAT,1072077,1072077,100.0,0,0.0
25,AENAM,1072077,1072077,100.0,0,0.0
26,ERDAT,1072077,1072077,100.0,0,0.0
27,ERNAM,1072077,1072077,100.0,0,0.0
28,URNUM,1072077,1072077,100.0,0,0.0
29,FENUM,1072077,1072077,100.0,0,0.0
30,src_commit_time,1072077,1072077,100.0,0,0.0
