Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,6178,6178,100.0,0,0.0
2,PLAUSIOBEN,6178,6178,100.0,0,0.0
3,TOLERWEIUN,6178,6178,100.0,0,0.0
4,TOLWOBNI,6178,6178,100.0,0,0.0
5,TOLERWEIOB,6178,6178,100.0,0,0.0
6,PLAUSIUNNI,6178,6178,100.0,0,0.0
7,PLAUSIUNTE,6178,6178,100.0,0,0.0
8,PLAUSIOBNI,6178,6178,100.0,0,0.0
9,GRENZUN2NI,6178,6178,100.0,0,0.0
10,TOLERWAB,6178,6178,100.0,0,0.0
11,GRENZEUN2,6178,6178,100.0,0,0.0
12,GRENZOB2NI,6178,6178,100.0,0,0.0
13,GRENZEOB2,6178,6178,100.0,0,0.0
14,GRENZUN1NI,6178,6178,100.0,0,0.0
15,GRENZEUN1,6178,6178,100.0,0,0.0
16,GRENZOB1NI,6178,6178,100.0,0,0.0
17,TOLWUNNI,6178,6178,100.0,0,0.0
18,TOLERWBIS,6178,6178,100.0,0,0.0
19,ZAEHLER,6178,6178,100.0,0,0.0
20,CODEGRQUAL,6178,6178,100.0,0,0.0
21,PARAMETER2,6178,6178,100.0,0,0.0
22,PARAMETER1,6178,6178,100.0,0,0.0
23,SPEC_DET_ACTIVE,6178,6178,100.0,0,0.0
24,SPEC_DET_RULE,6178,6178,100.0,0,0.0
25,INPPROC,6178,6178,100.0,0,0.0
26,CODEQUAL,6178,6178,100.0,0,0.0
27,EEANTVERF,6178,6178,100.0,0,0.0
28,CODEGR9U,6178,6178,100.0,0,0.0
29,ATINN,6178,6178,100.0,0,0.0
30,CODEVR9O,6178,6178,100.0,0,0.0
31,CODE9O,6178,6178,100.0,0,0.0
32,CODEGR9O,6178,6178,100.0,0,0.0
33,CODEVR9U,6178,6178,100.0,0,0.0
34,CODE9U,6178,6178,100.0,0,0.0
35,GRENZEOB1,6178,6178,100.0,0,0.0
36,KLASMINI,6178,6178,100.0,0,0.0
37,KLASMITTE,6178,6178,100.0,0,0.0
38,LSPER,6178,6178,100.0,0,0.0
39,STEUERKZ,6178,6178,100.0,0,0.0
40,DATAE,6178,6178,100.0,0,0.0
41,AEAUT,6178,6178,100.0,0,0.0
42,DATES,6178,6178,100.0,0,0.0
43,AUTOR,6178,6178,100.0,0,0.0
44,KONSISTENT,6178,6178,100.0,0,0.0
45,LOEKZ,6178,6178,100.0,0,0.0
46,KLASBRNI,6178,6178,100.0,0,0.0
47,CHARACT_ID1,6178,6178,100.0,0,0.0
48,SORTFELD,6178,6178,100.0,0,0.0
49,GUELTIGAB,6178,6178,100.0,0,0.0
50,WERKS,6178,6178,100.0,0,0.0
51,VERSION,6178,6178,100.0,0,0.0
52,MKMNR,6178,6178,100.0,0,0.0
53,MERKGEW,6178,6178,100.0,0,0.0
54,PRFQL,6178,6178,100.0,0,0.0
55,DUMMY10,6178,6178,100.0,0,0.0
56,DUMMY20,6178,6178,100.0,0,0.0
57,DUMMY40,6178,6178,100.0,0,0.0
58,QAUTH,6178,6178,100.0,0,0.0
59,TOLERANZSL,6178,6178,100.0,0,0.0
60,STELLEN,6178,6178,100.0,0,0.0
61,MASSEINHSW,6178,6178,100.0,0,0.0
62,SOLLWERT,6178,6178,100.0,0,0.0
63,SOLLWNI,6178,6178,100.0,0,0.0
64,TOLERANZOB,6178,6178,100.0,0,0.0
65,TOLOBNI,6178,6178,100.0,0,0.0
66,TOLERANZUN,6178,6178,100.0,0,0.0
67,TOLUNNI,6178,6178,100.0,0,0.0
68,KLASANZAHL,6178,6178,100.0,0,0.0
69,KLASBREITE,6178,6178,100.0,0,0.0
70,src_commit_time,6178,6178,100.0,0,0.0
