Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,mandt,34259,34259,100.0,0,0.0
2,fdebi,34259,34259,100.0,0,0.0
3,x_wf_active,34259,34259,100.0,0,0.0
4,laufi_dd_prenoti,34259,34259,100.0,0,0.0
5,laufd_dd_prenoti,34259,34259,100.0,0,0.0
6,x_dd_prenotif,34259,34259,100.0,0,0.0
7,bupla,34259,34259,100.0,0,0.0
8,filzu,34259,34259,100.0,0,0.0
9,kurst,34259,34259,100.0,0,0.0
10,anzgb,34259,34259,100.0,0,0.0
11,laufd,34259,34259,100.0,0,0.0
12,anzer,34259,34259,100.0,0,0.0
13,xdele,34259,34259,100.0,0,0.0
14,xbelg,34259,34259,100.0,0,0.0
15,xecht,34259,34259,100.0,0,0.0
16,xvorb,34259,34259,100.0,0,0.0
17,xvore,34259,34259,100.0,0,0.0
18,laufi,34259,34259,100.0,0,0.0
19,src_commit_time,34259,34259,100.0,0,0.0
