Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,756,756,100.0,0,0.0
2,MSEHI,756,756,100.0,0,0.0
3,PRESS_UNIT,756,756,100.0,0,0.0
4,PRESS_VAL,756,756,100.0,0,0.0
5,FAMUNIT,756,756,100.0,0,0.0
6,TEMP_UNIT,756,756,100.0,0,0.0
7,TEMP_VALUE,756,756,100.0,0,0.0
8,PRIMARY,756,756,100.0,0,0.0
9,ISOCODE,756,756,100.0,0,0.0
10,DECAN,756,756,100.0,0,0.0
11,EXPON,756,756,100.0,0,0.0
12,ADDKO,756,756,100.0,0,0.0
13,EXP10,756,756,100.0,0,0.0
14,NENNR,756,756,100.0,0,0.0
15,ZAEHL,756,756,100.0,0,0.0
16,DIMID,756,756,100.0,0,0.0
17,KZ2EH,756,756,100.0,0,0.0
18,KZ1EH,756,756,100.0,0,0.0
19,KZWOB,756,756,100.0,0,0.0
20,KZKEH,756,756,100.0,0,0.0
21,ANDEC,756,756,100.0,0,0.0
22,KZEX6,756,756,100.0,0,0.0
23,KZEX3,756,756,100.0,0,0.0
24,src_commit_time,756,756,100.0,0,0.0
