Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,mandt,320,320,100.0,0,0.0
2,bukrs,320,320,100.0,0,0.0
3,xtprb,320,320,100.0,0,0.0
4,broll,320,320,100.0,0,0.0
5,wikon,320,320,100.0,0,0.0
6,wkkon,320,320,100.0,0,0.0
7,hkid2,320,320,100.0,0,0.0
8,hbid2,320,320,100.0,0,0.0
9,hkid1,320,320,100.0,0,0.0
10,hbid1,320,320,100.0,0,0.0
11,mindt,320,320,100.0,0,0.0
12,wekon,320,320,100.0,0,0.0
13,hkont,320,320,100.0,0,0.0
14,abwae,320,320,100.0,0,0.0
15,fdgrp,320,320,100.0,0,0.0
16,bnkn2,320,320,100.0,0,0.0
17,dtaai,320,320,100.0,0,0.0
18,refzl,320,320,100.0,0,0.0
19,waers,320,320,100.0,0,0.0
20,bkont,320,320,100.0,0,0.0
21,bankn,320,320,100.0,0,0.0
22,hktid,320,320,100.0,0,0.0
23,hbkid,320,320,100.0,0,0.0
24,src_commit_time,320,320,100.0,0,0.0
