Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,1436,1436,100.0,0,0.0
2,KTZINB,1436,1436,100.0,0,0.0
3,KTMZUS,1436,1436,100.0,0,0.0
4,KTAZUS,1436,1436,100.0,0,0.0
5,KTSZUS,1436,1436,100.0,0,0.0
6,KTNZUS,1436,1436,100.0,0,0.0
7,KTAUNG,1436,1436,100.0,0,0.0
8,KTAUNB,1436,1436,100.0,0,0.0
9,KTMAFG,1436,1436,100.0,0,0.0
10,KTMAFB,1436,1436,100.0,0,0.0
11,KTZINU,1436,1436,100.0,0,0.0
12,KTZING,1436,1436,100.0,0,0.0
13,KTAAFU,1436,1436,100.0,0,0.0
14,KTOPL,1436,1436,100.0,0,0.0
15,KTAAFG,1436,1436,100.0,0,0.0
16,KTAAFB,1436,1436,100.0,0,0.0
17,KTSAFU,1436,1436,100.0,0,0.0
18,KTSAFG,1436,1436,100.0,0,0.0
19,KTSAFB,1436,1436,100.0,0,0.0
20,KTNAFU,1436,1436,100.0,0,0.0
21,KTNAFG,1436,1436,100.0,0,0.0
22,KTNAFB,1436,1436,100.0,0,0.0
23,AFABE,1436,1436,100.0,0,0.0
24,KTOGR,1436,1436,100.0,0,0.0
25,src_commit_time,1436,1436,100.0,0,0.0
