Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,mandt,287,287,100.0,0,0.0
2,proz1,287,287,100.0,0,0.0
3,waers,287,287,100.0,0,0.0
4,xp2ne,287,287,100.0,0,0.0
5,xp2ja,287,287,100.0,0,0.0
6,proz2,287,287,100.0,0,0.0
7,xp1ne,287,287,100.0,0,0.0
8,xp1ja,287,287,100.0,0,0.0
9,xw2ne,287,287,100.0,0,0.0
10,bukrs,287,287,100.0,0,0.0
11,xw2ja,287,287,100.0,0,0.0
12,wert2,287,287,100.0,0,0.0
13,xw1ne,287,287,100.0,0,0.0
14,xw1ja,287,287,100.0,0,0.0
15,wert1,287,287,100.0,0,0.0
16,tolsl,287,287,100.0,0,0.0
17,src_commit_time,287,287,100.0,0,0.0
