Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,233,233,100.0,0,0.0
2,PRASTA,233,233,100.0,0,0.0
3,AUART,233,233,100.0,0,0.0
4,AUAR2,233,233,100.0,0,0.0
5,PLSEL,233,233,100.0,0,0.0
6,RVPKZ,233,233,100.0,0,0.0
7,RESVP,233,233,100.0,0,0.0
8,SHFLG,233,233,100.0,0,0.0
9,SHZET,233,233,100.0,0,0.0
10,MDACH,233,233,100.0,0,0.0
11,EXSGT,233,233,100.0,0,0.0
12,WERKS,233,233,100.0,0,0.0
13,BESAL,233,233,100.0,0,0.0
14,BSART,233,233,100.0,0,0.0
15,BARTL,233,233,100.0,0,0.0
16,BARTU,233,233,100.0,0,0.0
17,GRREL,233,233,100.0,0,0.0
18,VERTR,233,233,100.0,0,0.0
19,FKOBS,233,233,100.0,0,0.0
20,EVAPR,233,233,100.0,0,0.0
21,ANDIS,233,233,100.0,0,0.0
22,RESHZ,233,233,100.0,0,0.0
23,STRGR,233,233,100.0,0,0.0
24,VINT2,233,233,100.0,0,0.0
25,MTART,233,233,100.0,0,0.0
26,BANER,233,233,100.0,0,0.0
27,DISER,233,233,100.0,0,0.0
28,UMTHZ,233,233,100.0,0,0.0
29,FIXHZ,233,233,100.0,0,0.0
30,PLAHZ,233,233,100.0,0,0.0
31,SBDIS,233,233,100.0,0,0.0
32,LIFKZ,233,233,100.0,0,0.0
33,GTERM,233,233,100.0,0,0.0
34,KZDRB,233,233,100.0,0,0.0
35,XFAT1,233,233,100.0,0,0.0
36,XFAT2,233,233,100.0,0,0.0
37,VWVOR,233,233,100.0,0,0.0
38,VWVER,233,233,100.0,0,0.0
39,PRREG,233,233,100.0,0,0.0
40,VRMOD,233,233,100.0,0,0.0
41,VINT1,233,233,100.0,0,0.0
42,src_commit_time,233,233,100.0,0,0.0
