Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,1343,1343,100.0,0,0.0
2,KUMUFLAG,1343,1343,100.0,0,0.0
3,RCKUMUFLAG,1343,1343,100.0,0,0.0
4,PROC_GROUP,1343,1343,100.0,0,0.0
5,SUBSTID,1343,1343,100.0,0,0.0
6,RKE_SPLIT,1343,1343,100.0,0,0.0
7,FM_DERIVE,1343,1343,100.0,0,0.0
8,GL_XBILK,1343,1343,100.0,0,0.0
9,FM_DERIVE_FONDS,1343,1343,100.0,0,0.0
10,FM_DERIVE_FKBER,1343,1343,100.0,0,0.0
11,FM_DERIVE_GRANT,1343,1343,100.0,0,0.0
12,FM_DERIVE_BUDPD,1343,1343,100.0,0,0.0
13,GL_LDGRP,1343,1343,100.0,0,0.0
14,PERIOD_LAG,1343,1343,100.0,0,0.0
15,PERIOD_DELTA,1343,1343,100.0,0,0.0
16,KALC_PRODPER,1343,1343,100.0,0,0.0
17,VARIABEL,1343,1343,100.0,0,0.0
18,VALUTYP_ALLOC,1343,1343,100.0,0,0.0
19,NO_SRC_CE,1343,1343,100.0,0,0.0
20,XXKUMUFLAG,1343,1343,100.0,0,0.0
21,JOB,1343,1343,100.0,0,0.0
22,TAB,1343,1343,100.0,0,0.0
23,IPKNZ,1343,1343,100.0,0,0.0
24,CYCLE,1343,1343,100.0,0,0.0
25,SDATE,1343,1343,100.0,0,0.0
26,EDATE,1343,1343,100.0,0,0.0
27,RSTATUS,1343,1343,100.0,0,0.0
28,FREQ,1343,1343,100.0,0,0.0
29,CRDATE,1343,1343,100.0,0,0.0
30,PUSER,1343,1343,100.0,0,0.0
31,MODDATE,1343,1343,100.0,0,0.0
32,MODUSER,1343,1343,100.0,0,0.0
33,LASTEXEC,1343,1343,100.0,0,0.0
34,LEXECBY,1343,1343,100.0,0,0.0
35,TIMEEXEC,1343,1343,100.0,0,0.0
36,ITERFLAG,1343,1343,100.0,0,0.0
37,ASTATUS,1343,1343,100.0,0,0.0
38,CYCLESET,1343,1343,100.0,0,0.0
39,NEGTEST,1343,1343,100.0,0,0.0
40,ALART,1343,1343,100.0,0,0.0
41,src_commit_time,1343,1343,100.0,0,0.0
