Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,mandt,666,666,100.0,0,0.0
2,bwasln,666,666,100.0,0,0.0
3,xobs,666,666,100.0,0,0.0
4,rsn_code,666,666,100.0,0,0.0
5,xumja,666,666,100.0,0,0.0
6,xzugbr,666,666,100.0,0,0.0
7,xaverbn,666,666,100.0,0,0.0
8,xcopsp,666,666,100.0,0,0.0
9,xcoobj,666,666,100.0,0,0.0
10,xifrel,666,666,100.0,0,0.0
11,xumbhi,666,666,100.0,0,0.0
12,xusbwa,666,666,100.0,0,0.0
13,xabimm,666,666,100.0,0,0.0
14,xabgwg,666,666,100.0,0,0.0
15,gittgr,666,666,100.0,0,0.0
16,xabinv,666,666,100.0,0,0.0
17,bwasl,666,666,100.0,0,0.0
18,blart,666,666,100.0,0,0.0
19,bwaslg,666,666,100.0,0,0.0
20,anshkz,666,666,100.0,0,0.0
21,xprjkt,666,666,100.0,0,0.0
22,bwakon,666,666,100.0,0,0.0
23,xabuch,666,666,100.0,0,0.0
24,xaverb,666,666,100.0,0,0.0
25,xerlos,666,666,100.0,0,0.0
26,xabgmm,666,666,100.0,0,0.0
27,xdeakt,666,666,100.0,0,0.0
28,xaktiv,666,666,100.0,0,0.0
29,xverga,666,666,100.0,0,0.0
30,bwagrp,666,666,100.0,0,0.0
31,src_commit_time,666,666,100.0,0,0.0
