Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,mandt,121,121,100.0,0,0.0
2,created_at,121,121,100.0,0,0.0
3,date_exp,121,121,100.0,0,0.0
4,datbis,121,121,100.0,0,0.0
5,datab,121,121,100.0,0,0.0
6,modified_at,121,121,100.0,0,0.0
7,modified_on,121,121,100.0,0,0.0
8,modified_by,121,121,100.0,0,0.0
9,created_on,121,121,100.0,0,0.0
10,fkber,121,121,100.0,0,0.0
11,created_by,121,121,100.0,0,0.0
12,fnsub3,121,121,100.0,0,0.0
13,fnsub2,121,121,100.0,0,0.0
14,fnsub1,121,121,100.0,0,0.0
15,str_id,121,121,100.0,0,0.0
16,authgrp,121,121,100.0,0,0.0
17,src_commit_time,121,121,100.0,0,0.0
