Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,123,123,100.0,0,0.0
2,J_1ADOCCLS,123,123,100.0,0,0.0
3,SPOFI,123,123,100.0,0,0.0
4,DSFAD,123,123,100.0,0,0.0
5,DBTCH,123,123,100.0,0,0.0
6,UVEIB,123,123,100.0,0,0.0
7,TSEGTP,123,123,100.0,0,0.0
8,RFPL_SW,123,123,100.0,0,0.0
9,EXCLG,123,123,100.0,0,0.0
10,LFART,123,123,100.0,0,0.0
11,EXCEM,123,123,100.0,0,0.0
12,EXCBC,123,123,100.0,0,0.0
13,BZOPS,123,123,100.0,0,0.0
14,REGTB,123,123,100.0,0,0.0
15,PM_ITEM_GEN,123,123,100.0,0,0.0
16,AVERP,123,123,100.0,0,0.0
17,OIDELDCM,123,123,100.0,0,0.0
18,SPE_NUMKT,123,123,100.0,0,0.0
19,SPE_NR_RECYCLING,123,123,100.0,0,0.0
20,BORGR_LIFEX_MUST,123,123,100.0,0,0.0
21,BORGR_LIFEX_UNQ,123,123,100.0,0,0.0
22,BORGR_LIFEX_EEDI,123,123,100.0,0,0.0
23,BORGR_LIFEX_EDIA,123,123,100.0,0,0.0
24,BORGR_SODET,123,123,100.0,0,0.0
25,HOLD_DATA,123,123,100.0,0,0.0
26,TDID,123,123,100.0,0,0.0
27,TDSPRAS,123,123,100.0,0,0.0
28,EDI_WEIGHTVOL,123,123,100.0,0,0.0
29,MSR_FKARA,123,123,100.0,0,0.0
30,FSH_AUDELOC,123,123,100.0,0,0.0
31,FSH_VASS_ACT,123,123,100.0,0,0.0
32,FSH_VASS_KALSM,123,123,100.0,0,0.0
33,FSH_VASS_CORR,123,123,100.0,0,0.0
34,LNSPL,123,123,100.0,0,0.0
35,FEHGR,123,123,100.0,0,0.0
36,KALSP,123,123,100.0,0,0.0
37,INCPO,123,123,100.0,0,0.0
38,REGLG,123,123,100.0,0,0.0
39,REGGR,123,123,100.0,0,0.0
40,POBED,123,123,100.0,0,0.0
41,DAART,123,123,100.0,0,0.0
42,AUFER,123,123,100.0,0,0.0
43,PARGR,123,123,100.0,0,0.0
44,NUMKIRULE,123,123,100.0,0,0.0
45,NEUTE,123,123,100.0,0,0.0
46,NUMKE,123,123,100.0,0,0.0
47,NUMKI,123,123,100.0,0,0.0
48,UMFNG,123,123,100.0,0,0.0
49,TXN08,123,123,100.0,0,0.0
50,UEVOR,123,123,100.0,0,0.0
51,KOPGR,123,123,100.0,0,0.0
52,WAAUS,123,123,100.0,0,0.0
53,ROUTF,123,123,100.0,0,0.0
54,VBTYP,123,123,100.0,0,0.0
55,TXTGR,123,123,100.0,0,0.0
56,EXCOK,123,123,100.0,0,0.0
57,PROFIDNETZ,123,123,100.0,0,0.0
58,TDIIX,123,123,100.0,0,0.0
59,TRSPG,123,123,100.0,0,0.0
60,QHERK,123,123,100.0,0,0.0
61,CMGRW,123,123,100.0,0,0.0
62,CMGRK,123,123,100.0,0,0.0
63,CMGRL,123,123,100.0,0,0.0
64,STGAK,123,123,100.0,0,0.0
65,KSCHL,123,123,100.0,0,0.0
66,KALSM,123,123,100.0,0,0.0
67,KAPPL,123,123,100.0,0,0.0
68,ERNAM,123,123,100.0,0,0.0
69,src_commit_time,123,123,100.0,0,0.0
70,SPE_ENABLE_VALID,10,123,8.1,113,91.9
