Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,2565,2565,100.0,0,0.0
2,DISTZ,2565,2565,100.0,0,0.0
3,ALLOWED_UOM,2565,2565,100.0,0,0.0
4,ALLOWED_TWGT,2565,2565,100.0,0,0.0
5,TCTAB,2565,2565,100.0,0,0.0
6,ROUTID,2565,2565,100.0,0,0.0
7,TDLNR,2565,2565,100.0,0,0.0
8,VSANL,2565,2565,100.0,0,0.0
9,VSAVL,2565,2565,100.0,0,0.0
10,VSART,2565,2565,100.0,0,0.0
11,MEDST,2565,2565,100.0,0,0.0
12,FAHZTD,2565,2565,100.0,0,0.0
13,ROUTE,2565,2565,100.0,0,0.0
14,SPZST,2565,2565,100.0,0,0.0
15,TDIIX,2565,2565,100.0,0,0.0
16,EXPVZ,2565,2565,100.0,0,0.0
17,SPFBK,2565,2565,100.0,0,0.0
18,TDVZND,2565,2565,100.0,0,0.0
19,TDVZTD,2565,2565,100.0,0,0.0
20,TDVZT,2565,2565,100.0,0,0.0
21,TRAZTD,2565,2565,100.0,0,0.0
22,TRAZT,2565,2565,100.0,0,0.0
23,src_commit_time,2565,2565,100.0,0,0.0
