Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,mandt,89,89,100.0,0,0.0
2,rizbs,89,89,100.0,0,0.0
3,roundn,89,89,100.0,0,0.0
4,roundg,89,89,100.0,0,0.0
5,tstrid,89,89,100.0,0,0.0
6,pipatn,89,89,100.0,0,0.0
7,pipatg,89,89,100.0,0,0.0
8,loadtn,89,89,100.0,0,0.0
9,loadtg,89,89,100.0,0,0.0
10,alw_sw,89,89,100.0,0,0.0
11,txnam_sdb,89,89,100.0,0,0.0
12,imess,89,89,100.0,0,0.0
13,komsu,89,89,100.0,0,0.0
14,koqui,89,89,100.0,0,0.0
15,rizzt,89,89,100.0,0,0.0
16,lazzt,89,89,100.0,0,0.0
17,lazbs,89,89,100.0,0,0.0
18,vstel,89,89,100.0,0,0.0
19,nacha,89,89,100.0,0,0.0
20,vsztp,89,89,100.0,0,0.0
21,anzal,89,89,100.0,0,0.0
22,spras,89,89,100.0,0,0.0
23,kschl,89,89,100.0,0,0.0
24,txnam_gru,89,89,100.0,0,0.0
25,txnam_fus,89,89,100.0,0,0.0
26,txnam_kop,89,89,100.0,0,0.0
27,txnam_adr,89,89,100.0,0,0.0
28,azone,89,89,100.0,0,0.0
29,aland,89,89,100.0,0,0.0
30,adrnr,89,89,100.0,0,0.0
31,vtrzt,89,89,100.0,0,0.0
32,fabkl,89,89,100.0,0,0.0
33,src_commit_time,89,89,100.0,0,0.0
