Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,15833,15833,100.0,0,0.0
2,BNAME,15833,15833,100.0,0,0.0
3,PERSNUMBER,15833,15833,100.0,0,0.0
4,ADDRNUMBER,15833,15833,100.0,0,0.0
5,KOSTL,15833,15833,100.0,0,0.0
6,START_MENU,15833,15833,100.0,0,0.0
7,IDADTYPE,15833,15833,100.0,0,0.0
8,RESPONSIBLE,15833,15833,100.0,0,0.0
9,TECHDESC,15833,15833,100.0,0,0.0
10,src_commit_time,15833,15833,100.0,0,0.0
11,IDENTITY_GUID,15698,15833,99.1,135,0.9
12,BPPERSON,5946,15833,37.6,9887,62.4
13,ORGANIZATION,5946,15833,37.6,9887,62.4
