Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,15127744,15127744,100.0,0,0.0
2,WKTNR,15127744,15127744,100.0,0,0.0
3,ABGES,15127744,15127744,100.0,0,0.0
4,J_1ARFZ,15127744,15127744,100.0,0,0.0
5,J_1AREGIO,15127744,15127744,100.0,0,0.0
6,J_1AGICD,15127744,15127744,100.0,0,0.0
7,J_1ADTYP,15127744,15127744,100.0,0,0.0
8,J_1ATXREL,15127744,15127744,100.0,0,0.0
9,J_1BCFOP,15127744,15127744,100.0,0,0.0
10,J_1BTAXLW1,15127744,15127744,100.0,0,0.0
11,J_1BTAXLW2,15127744,15127744,100.0,0,0.0
12,J_1BTXSDC,15127744,15127744,100.0,0,0.0
13,BRTWR,15127744,15127744,100.0,0,0.0
14,WKTPS,15127744,15127744,100.0,0,0.0
15,CMPRE_FLT,15127744,15127744,100.0,0,0.0
16,RPLNR,15127744,15127744,100.0,0,0.0
17,KURSK_DAT,15127744,15127744,100.0,0,0.0
18,WGRU1,15127744,15127744,100.0,0,0.0
19,WGRU2,15127744,15127744,100.0,0,0.0
20,KDKG1,15127744,15127744,100.0,0,0.0
21,KDKG2,15127744,15127744,100.0,0,0.0
22,KDKG3,15127744,15127744,100.0,0,0.0
23,KDKG4,15127744,15127744,100.0,0,0.0
24,KDKG5,15127744,15127744,100.0,0,0.0
25,VKAUS,15127744,15127744,100.0,0,0.0
26,J_1AINDXP,15127744,15127744,100.0,0,0.0
27,ABFOR,15127744,15127744,100.0,0,0.0
28,UKONM,15127744,15127744,100.0,0,0.0
29,XCHAR,15127744,15127744,100.0,0,0.0
30,PROSA,15127744,15127744,100.0,0,0.0
31,SERNR,15127744,15127744,100.0,0,0.0
32,BZIRK_AUFT,15127744,15127744,100.0,0,0.0
33,KDGRP_AUFT,15127744,15127744,100.0,0,0.0
34,KONDA_AUFT,15127744,15127744,100.0,0,0.0
35,LLAND_AUFT,15127744,15127744,100.0,0,0.0
36,MPROK,15127744,15127744,100.0,0,0.0
37,PLTYP_AUFT,15127744,15127744,100.0,0,0.0
38,REGIO_AUFT,15127744,15127744,100.0,0,0.0
39,VKORG_AUFT,15127744,15127744,100.0,0,0.0
40,VTWEG_AUFT,15127744,15127744,100.0,0,0.0
41,ABRBG,15127744,15127744,100.0,0,0.0
42,UEPVW,15127744,15127744,100.0,0,0.0
43,UPMAT,15127744,15127744,100.0,0,0.0
44,AUTYP,15127744,15127744,100.0,0,0.0
45,STADAT,15127744,15127744,100.0,0,0.0
46,FPLNR,15127744,15127744,100.0,0,0.0
47,FPLTR,15127744,15127744,100.0,0,0.0
48,AKTNR,15127744,15127744,100.0,0,0.0
49,KNUMA_PI,15127744,15127744,100.0,0,0.0
50,KNUMA_AG,15127744,15127744,100.0,0,0.0
51,PREFE,15127744,15127744,100.0,0,0.0
52,MWSBP,15127744,15127744,100.0,0,0.0
53,AUGRU_AUFT,15127744,15127744,100.0,0,0.0
54,FAREG,15127744,15127744,100.0,0,0.0
55,J_1AIDATEP,15127744,15127744,100.0,0,0.0
56,KZFME,15127744,15127744,100.0,0,0.0
57,MWSKZ,15127744,15127744,100.0,0,0.0
58,FONDS,15127744,15127744,100.0,0,0.0
59,APLZL,15127744,15127744,100.0,0,0.0
60,DPCNR,15127744,15127744,100.0,0,0.0
61,DCPNR,15127744,15127744,100.0,0,0.0
62,DPNRB,15127744,15127744,100.0,0,0.0
63,PEROP_BEG,15127744,15127744,100.0,0,0.0
64,PEROP_END,15127744,15127744,100.0,0,0.0
65,FMFGUS_KEY,15127744,15127744,100.0,0,0.0
66,FSH_SEASON_YEAR,15127744,15127744,100.0,0,0.0
67,FSH_SEASON,15127744,15127744,100.0,0,0.0
68,FSH_COLLECTION,15127744,15127744,100.0,0,0.0
69,FSH_THEME,15127744,15127744,100.0,0,0.0
70,FISTL,15127744,15127744,100.0,0,0.0
71,VERTT,15127744,15127744,100.0,0,0.0
72,FKBER,15127744,15127744,100.0,0,0.0
73,GRANT_NBR,15127744,15127744,100.0,0,0.0
74,BUDGET_PD,15127744,15127744,100.0,0,0.0
75,PRS_WORK_PERIOD,15127744,15127744,100.0,0,0.0
76,AUFPL_OAA,15127744,15127744,100.0,0,0.0
77,APLZL_OAA,15127744,15127744,100.0,0,0.0
78,COMPREAS,15127744,15127744,100.0,0,0.0
79,WRF_CHARSTC1,15127744,15127744,100.0,0,0.0
80,WRF_CHARSTC2,15127744,15127744,100.0,0,0.0
81,WRF_CHARSTC3,15127744,15127744,100.0,0,0.0
82,CAMPAIGN,15127744,15127744,100.0,0,0.0
83,AUFPL,15127744,15127744,100.0,0,0.0
84,GLO_LOG_REF1_IT,15127744,15127744,100.0,0,0.0
85,SGT_SCAT,15127744,15127744,100.0,0,0.0
86,SGT_RCAT,15127744,15127744,100.0,0,0.0
87,VERTN,15127744,15127744,100.0,0,0.0
88,SGTXT,15127744,15127744,100.0,0,0.0
89,DELCO,15127744,15127744,100.0,0,0.0
90,BEMOT,15127744,15127744,100.0,0,0.0
91,RRREL,15127744,15127744,100.0,0,0.0
92,AKKUR,15127744,15127744,100.0,0,0.0
93,WMINR,15127744,15127744,100.0,0,0.0
94,VGBEL_EX,15127744,15127744,100.0,0,0.0
95,VGPOS_EX,15127744,15127744,100.0,0,0.0
96,LOGSYS,15127744,15127744,100.0,0,0.0
97,VGTYP_EX,15127744,15127744,100.0,0,0.0
98,J_1BTAXLW3,15127744,15127744,100.0,0,0.0
99,J_1BTAXLW4,15127744,15127744,100.0,0,0.0
100,J_1BTAXLW5,15127744,15127744,100.0,0,0.0
101,MSR_ID,15127744,15127744,100.0,0,0.0
102,MSR_REFUND_CODE,15127744,15127744,100.0,0,0.0
103,MSR_RET_REASON,15127744,15127744,100.0,0,0.0
104,NRAB_KNUMH,15127744,15127744,100.0,0,0.0
105,NRAB_VALUE,15127744,15127744,100.0,0,0.0
106,FARR_RELTYPE,15127744,15127744,100.0,0,0.0
107,CLAIMS_TAXATION,15127744,15127744,100.0,0,0.0
108,KURRF_DAT_ORIG,15127744,15127744,100.0,0,0.0
109,VGTYP_EXT,15127744,15127744,100.0,0,0.0
110,VBELN,15127744,15127744,100.0,0,0.0
111,ABRVW,15127744,15127744,100.0,0,0.0
112,UECHA,15127744,15127744,100.0,0,0.0
113,POSPA,15127744,15127744,100.0,0,0.0
114,MATNR,15127744,15127744,100.0,0,0.0
115,ARKTX,15127744,15127744,100.0,0,0.0
116,PMATN,15127744,15127744,100.0,0,0.0
117,CHARG,15127744,15127744,100.0,0,0.0
118,MATKL,15127744,15127744,100.0,0,0.0
119,PSTYV,15127744,15127744,100.0,0,0.0
120,POSAR,15127744,15127744,100.0,0,0.0
121,PRODH,15127744,15127744,100.0,0,0.0
122,VSTEL,15127744,15127744,100.0,0,0.0
123,ATPKZ,15127744,15127744,100.0,0,0.0
124,SPART,15127744,15127744,100.0,0,0.0
125,WERKS,15127744,15127744,100.0,0,0.0
126,AUPOS,15127744,15127744,100.0,0,0.0
127,ALAND,15127744,15127744,100.0,0,0.0
128,WKREG,15127744,15127744,100.0,0,0.0
129,WKCOU,15127744,15127744,100.0,0,0.0
130,WKCTY,15127744,15127744,100.0,0,0.0
131,TAXM1,15127744,15127744,100.0,0,0.0
132,TAXM2,15127744,15127744,100.0,0,0.0
133,TAXM3,15127744,15127744,100.0,0,0.0
134,TAXM4,15127744,15127744,100.0,0,0.0
135,TAXM5,15127744,15127744,100.0,0,0.0
136,TAXM6,15127744,15127744,100.0,0,0.0
137,KOUPD,15127744,15127744,100.0,0,0.0
138,AUREF,15127744,15127744,100.0,0,0.0
139,AUBEL,15127744,15127744,100.0,0,0.0
