Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,25327921,25327921,100.0,0,0.0
2,TRSTA,25327921,25327921,100.0,0,0.0
3,UVPIK,25327921,25327921,100.0,0,0.0
4,UVPAK,25327921,25327921,100.0,0,0.0
5,UVWAS,25327921,25327921,100.0,0,0.0
6,UVPIS,25327921,25327921,100.0,0,0.0
7,UVPAS,25327921,25327921,100.0,0,0.0
8,SAPRL,25327921,25327921,100.0,0,0.0
9,COSTA,25327921,25327921,100.0,0,0.0
10,KOQUK,25327921,25327921,100.0,0,0.0
11,CMGST,25327921,25327921,100.0,0,0.0
12,CMPSF,25327921,25327921,100.0,0,0.0
13,CMPS2,25327921,25327921,100.0,0,0.0
14,CMPS1,25327921,25327921,100.0,0,0.0
15,CMPS0,25327921,25327921,100.0,0,0.0
16,CMPSL,25327921,25327921,100.0,0,0.0
17,CMPSK,25327921,25327921,100.0,0,0.0
18,CMPSJ,25327921,25327921,100.0,0,0.0
19,CMPSI,25327921,25327921,100.0,0,0.0
20,CMPSH,25327921,25327921,100.0,0,0.0
21,UVWAK,25327921,25327921,100.0,0,0.0
22,UVGEK,25327921,25327921,100.0,0,0.0
23,CMPSM,25327921,25327921,100.0,0,0.0
24,DCSTK,25327921,25327921,100.0,0,0.0
25,FSH_AR_STAT_HDR,25327921,25327921,100.0,0,0.0
26,VBTYP_EXT,25327921,25327921,100.0,0,0.0
27,CMPS_TE,25327921,25327921,100.0,0,0.0
28,CMPS_CM,25327921,25327921,100.0,0,0.0
29,HDALS,25327921,25327921,100.0,0,0.0
30,HDALL,25327921,25327921,100.0,0,0.0
31,SPE_TMPID,25327921,25327921,100.0,0,0.0
32,MANEK,25327921,25327921,100.0,0,0.0
33,FMSTK,25327921,25327921,100.0,0,0.0
34,PDSTK,25327921,25327921,100.0,0,0.0
35,SPSTG,25327921,25327921,100.0,0,0.0
36,LSSTK,25327921,25327921,100.0,0,0.0
37,FSSTK,25327921,25327921,100.0,0,0.0
38,BLOCK,25327921,25327921,100.0,0,0.0
39,RRSTA,25327921,25327921,100.0,0,0.0
40,VLSTK,25327921,25327921,100.0,0,0.0
41,VESTK,25327921,25327921,100.0,0,0.0
42,CMPSG,25327921,25327921,100.0,0,0.0
43,CMPSE,25327921,25327921,100.0,0,0.0
44,VBELN,25327921,25327921,100.0,0,0.0
45,ABSTK,25327921,25327921,100.0,0,0.0
46,UVVLK,25327921,25327921,100.0,0,0.0
47,UVALL,25327921,25327921,100.0,0,0.0
48,UVFAS,25327921,25327921,100.0,0,0.0
49,UVVLS,25327921,25327921,100.0,0,0.0
50,UVALS,25327921,25327921,100.0,0,0.0
51,LVSTK,25327921,25327921,100.0,0,0.0
52,KOSTK,25327921,25327921,100.0,0,0.0
53,GBSTK,25327921,25327921,100.0,0,0.0
54,BUCHK,25327921,25327921,100.0,0,0.0
55,CMPSD,25327921,25327921,100.0,0,0.0
56,FKSAK,25327921,25327921,100.0,0,0.0
57,FKSTK,25327921,25327921,100.0,0,0.0
58,WBSTK,25327921,25327921,100.0,0,0.0
59,LFGSK,25327921,25327921,100.0,0,0.0
60,LFSTK,25327921,25327921,100.0,0,0.0
61,BESTK,25327921,25327921,100.0,0,0.0
62,RFGSK,25327921,25327921,100.0,0,0.0
63,RFSTK,25327921,25327921,100.0,0,0.0
64,UVFAK,25327921,25327921,100.0,0,0.0
65,UVPRS,25327921,25327921,100.0,0,0.0
66,VBTYP,25327921,25327921,100.0,0,0.0
67,VBOBJ,25327921,25327921,100.0,0,0.0
68,CMPSC,25327921,25327921,100.0,0,0.0
69,CMPSB,25327921,25327921,100.0,0,0.0
70,CMPSA,25327921,25327921,100.0,0,0.0
71,PKSTK,25327921,25327921,100.0,0,0.0
72,UVS05,25327921,25327921,100.0,0,0.0
73,UVS04,25327921,25327921,100.0,0,0.0
74,UVS03,25327921,25327921,100.0,0,0.0
75,UVS02,25327921,25327921,100.0,0,0.0
76,UVS01,25327921,25327921,100.0,0,0.0
77,UVK05,25327921,25327921,100.0,0,0.0
78,UVK04,25327921,25327921,100.0,0,0.0
79,UVK03,25327921,25327921,100.0,0,0.0
80,UVK02,25327921,25327921,100.0,0,0.0
81,UVK01,25327921,25327921,100.0,0,0.0
82,RELIK,25327921,25327921,100.0,0,0.0
83,FKIVK,25327921,25327921,100.0,0,0.0
84,AEDAT,25327921,25327921,100.0,0,0.0
85,src_commit_time,25327921,25327921,100.0,0,0.0
