Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,846942,846942,100.0,0,0.0
2,OBJTYPE,846942,846942,100.0,0,0.0
3,MSGV4,846942,846942,100.0,0,0.0
4,MSGV3,846942,846942,100.0,0,0.0
5,MSGV2,846942,846942,100.0,0,0.0
6,MSGV1,846942,846942,100.0,0,0.0
7,MSGNO,846942,846942,100.0,0,0.0
8,MSGID,846942,846942,100.0,0,0.0
9,MSGTY,846942,846942,100.0,0,0.0
10,RETRY_ERR,846942,846942,100.0,0,0.0
11,COMMNT,846942,846942,100.0,0,0.0
12,FIELDVALUE,846942,846942,100.0,0,0.0
13,FIELDNAME,846942,846942,100.0,0,0.0
14,DELE_DATE,846942,846942,100.0,0,0.0
15,CREA_TIME,846942,846942,100.0,0,0.0
16,CREA_DATE,846942,846942,100.0,0,0.0
17,REPID,846942,846942,100.0,0,0.0
18,CREATOR,846942,846942,100.0,0,0.0
19,OBJKEY,846942,846942,100.0,0,0.0
20,TIMESTAMP,846942,846942,100.0,0,0.0
21,DIRECTION,846942,846942,100.0,0,0.0
22,COUNTER,846942,846942,100.0,0,0.0
23,EVENT,846942,846942,100.0,0,0.0
24,src_commit_time,846942,846942,100.0,0,0.0
