Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,8371883,8371883,100.0,0,0.0
2,ZSERVNUM,8371883,8371883,100.0,0,0.0
3,COMP_SAME_UDI,8371883,8371883,100.0,0,0.0
4,POPUP,8371883,8371883,100.0,0,0.0
5,COMP,8371883,8371883,100.0,0,0.0
6,AENAM,8371883,8371883,100.0,0,0.0
7,AETIM,8371883,8371883,100.0,0,0.0
8,AEDAT,8371883,8371883,100.0,0,0.0
9,ERNAM,8371883,8371883,100.0,0,0.0
10,ERTIM,8371883,8371883,100.0,0,0.0
11,ERDAT,8371883,8371883,100.0,0,0.0
12,LVORM,8371883,8371883,100.0,0,0.0
13,MATNR_SERNR,8371883,8371883,100.0,0,0.0
14,STATUS,8371883,8371883,100.0,0,0.0
15,UDI,8371883,8371883,100.0,0,0.0
16,FUNLOC,8371883,8371883,100.0,0,0.0
17,EQUNR,8371883,8371883,100.0,0,0.0
18,UDI_BARCODE,8371883,8371883,100.0,0,0.0
19,EDHR_ORGIN,8371883,8371883,100.0,0,0.0
20,EXP_DATE,8371883,8371883,100.0,0,0.0
21,DATE_OF_MAN,8371883,8371883,100.0,0,0.0
22,CHARG,8371883,8371883,100.0,0,0.0
23,SERNR,8371883,8371883,100.0,0,0.0
24,BISMT,8371883,8371883,100.0,0,0.0
25,MATNR,8371883,8371883,100.0,0,0.0
26,GTIN,8371883,8371883,100.0,0,0.0
27,src_commit_time,8371883,8371883,100.0,0,0.0
