Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,mandt,4249,4249,100.0,0,0.0
2,kappl,4249,4249,100.0,0,0.0
3,kschl,4249,4249,100.0,0,0.0
4,vkorg,4249,4249,100.0,0,0.0
5,vtweg,4249,4249,100.0,0,0.0
6,spart,4249,4249,100.0,0,0.0
7,mtart,4249,4249,100.0,0,0.0
8,auart_sd,4249,4249,100.0,0,0.0
9,kunnr,4249,4249,100.0,0,0.0
10,prctr,4249,4249,100.0,0,0.0
11,datbi,4249,4249,100.0,0,0.0
12,datab,4249,4249,100.0,0,0.0
13,knumh,4249,4249,100.0,0,0.0
14,src_commit_time,4249,4249,100.0,0,0.0
