Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,CLIENT,5869327,5869327,100.0,0,0.0
2,SMTP_SRCH,5869327,5869327,100.0,0,0.0
3,VALID_TO,5869327,5869327,100.0,0,0.0
4,VALID_FROM,5869327,5869327,100.0,0,0.0
5,TNEF,5869327,5869327,100.0,0,0.0
6,ENCODE,5869327,5869327,100.0,0,0.0
7,R3_USER,5869327,5869327,100.0,0,0.0
8,DFT_RECEIV,5869327,5869327,100.0,0,0.0
9,SMTP_ADDR,5869327,5869327,100.0,0,0.0
10,ADDRNUMBER,5869327,5869327,100.0,0,0.0
11,HOME_FLAG,5869327,5869327,100.0,0,0.0
12,FLG_NOUSE,5869327,5869327,100.0,0,0.0
13,FLGDEFAULT,5869327,5869327,100.0,0,0.0
14,CONSNUMBER,5869327,5869327,100.0,0,0.0
15,DATE_FROM,5869327,5869327,100.0,0,0.0
16,PERSNUMBER,5869327,5869327,100.0,0,0.0
17,src_commit_time,5869327,5869327,100.0,0,0.0
