Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,93386314,93386314,100.0,0,0.0
2,QKZPRZEIT,93386314,93386314,100.0,0,0.0
3,NPTXTKY,93386314,93386314,100.0,0,0.0
4,SUBSYS,93386314,93386314,100.0,0,0.0
5,PSPNR,93386314,93386314,100.0,0,0.0
6,PACKNO,93386314,93386314,100.0,0,0.0
7,TXJCD,93386314,93386314,100.0,0,0.0
8,SCOPE,93386314,93386314,100.0,0,0.0
9,GSBER,93386314,93386314,100.0,0,0.0
10,PRCTR,93386314,93386314,100.0,0,0.0
11,NO_DISP,93386314,93386314,100.0,0,0.0
12,QKZZTMG1,93386314,93386314,100.0,0,0.0
13,AUFPL,93386314,93386314,100.0,0,0.0
14,QKZPRMENG,93386314,93386314,100.0,0,0.0
15,QKZPRFREI,93386314,93386314,100.0,0,0.0
16,KZFEAT,93386314,93386314,100.0,0,0.0
17,QKZTLSBEST,93386314,93386314,100.0,0,0.0
18,AENNR,93386314,93386314,100.0,0,0.0
19,CUOBJ_ARB,93386314,93386314,100.0,0,0.0
20,EVGEW,93386314,93386314,100.0,0,0.0
21,ARBII,93386314,93386314,100.0,0,0.0
22,WERKI,93386314,93386314,100.0,0,0.0
23,RSTUF,93386314,93386314,100.0,0,0.0
24,QLKAPAR,93386314,93386314,100.0,0,0.0
25,OBJEKTID,93386314,93386314,100.0,0,0.0
26,OTYPE,93386314,93386314,100.0,0,0.0
27,FRSP,93386314,93386314,100.0,0,0.0
28,STDKN,93386314,93386314,100.0,0,0.0
29,ANLZU,93386314,93386314,100.0,0,0.0
30,ISTRU,93386314,93386314,100.0,0,0.0
31,ISTTY,93386314,93386314,100.0,0,0.0
32,ISTNR,93386314,93386314,100.0,0,0.0
33,ISTKN,93386314,93386314,100.0,0,0.0
34,ISTPO,93386314,93386314,100.0,0,0.0
35,IUPOZ,93386314,93386314,100.0,0,0.0
36,EBORT,93386314,93386314,100.0,0,0.0
37,VERTL,93386314,93386314,100.0,0,0.0
38,LEKNW,93386314,93386314,100.0,0,0.0
39,NPRIO,93386314,93386314,100.0,0,0.0
40,PVZKN,93386314,93386314,100.0,0,0.0
41,PHFLG,93386314,93386314,100.0,0,0.0
42,PHSEQ,93386314,93386314,100.0,0,0.0
43,KNOBJ,93386314,93386314,100.0,0,0.0
44,ERFSICHT,93386314,93386314,100.0,0,0.0
45,QPPKTABS,93386314,93386314,100.0,0,0.0
46,CY_SEQNRV,93386314,93386314,100.0,0,0.0
47,KAPT_PUFFR,93386314,93386314,100.0,0,0.0
48,EBELN,93386314,93386314,100.0,0,0.0
49,KLVAR,93386314,93386314,100.0,0,0.0
50,FORDN,93386314,93386314,100.0,0,0.0
51,FORDP,93386314,93386314,100.0,0,0.0
52,MAT_PRKST,93386314,93386314,100.0,0,0.0
53,PRZ01,93386314,93386314,100.0,0,0.0
54,RFPNT,93386314,93386314,100.0,0,0.0
55,FUNC_AREA,93386314,93386314,100.0,0,0.0
56,TECHS,93386314,93386314,100.0,0,0.0
57,ADPSP,93386314,93386314,100.0,0,0.0
58,RFIPPNT,93386314,93386314,100.0,0,0.0
59,MES_OPERID,93386314,93386314,100.0,0,0.0
60,MES_STEPID,93386314,93386314,100.0,0,0.0
61,/ISDFPS/OBJNR,93386314,93386314,100.0,0,0.0
62,TPLNR,93386314,93386314,100.0,0,0.0
63,EQUNR,93386314,93386314,100.0,0,0.0
64,/CUM/CUGUID,93386314,93386314,100.0,0,0.0
65,PS_ADRNR,93386314,93386314,100.0,0,0.0
66,PS_ADRN2,93386314,93386314,100.0,0,0.0
67,PS_KUNNR,93386314,93386314,100.0,0,0.0
68,PS_EMLIF,93386314,93386314,100.0,0,0.0
69,KALNR,93386314,93386314,100.0,0,0.0
70,CH_PROC,93386314,93386314,100.0,0,0.0
71,EBELP,93386314,93386314,100.0,0,0.0
72,OBJTYPE,93386314,93386314,100.0,0,0.0
73,WEMPF,93386314,93386314,100.0,0,0.0
74,ABLAD,93386314,93386314,100.0,0,0.0
75,CLASF,93386314,93386314,100.0,0,0.0
76,FRUNV,93386314,93386314,100.0,0,0.0
77,ZSCHL,93386314,93386314,100.0,0,0.0
78,KALSM,93386314,93386314,100.0,0,0.0
79,SCHED_END,93386314,93386314,100.0,0,0.0
80,NETZKONT,93386314,93386314,100.0,0,0.0
81,OWAER,93386314,93386314,100.0,0,0.0
82,AFNAM,93386314,93386314,100.0,0,0.0
83,BEDNR,93386314,93386314,100.0,0,0.0
84,KZFIX,93386314,93386314,100.0,0,0.0
85,PERNR,93386314,93386314,100.0,0,0.0
86,FRDLB,93386314,93386314,100.0,0,0.0
87,QPART,93386314,93386314,100.0,0,0.0
88,LOEKZ,93386314,93386314,100.0,0,0.0
89,WKURS,93386314,93386314,100.0,0,0.0
90,PROD_ACT,93386314,93386314,100.0,0,0.0
91,FPLNR,93386314,93386314,100.0,0,0.0
92,KALID,93386314,93386314,100.0,0,0.0
93,SELKZ,93386314,93386314,100.0,0,0.0
94,LEK06,93386314,93386314,100.0,0,0.0
95,VGWTS,93386314,93386314,100.0,0,0.0
96,LAR02,93386314,93386314,100.0,0,0.0
97,LAR03,93386314,93386314,100.0,0,0.0
98,LAR04,93386314,93386314,100.0,0,0.0
99,LAR05,93386314,93386314,100.0,0,0.0
100,LAR06,93386314,93386314,100.0,0,0.0
101,ZERMA,93386314,93386314,100.0,0,0.0
102,ZGDAT,93386314,93386314,100.0,0,0.0
103,ZCODE,93386314,93386314,100.0,0,0.0
104,ZULNR,93386314,93386314,100.0,0,0.0
105,LOANZ,93386314,93386314,100.0,0,0.0
106,LOART,93386314,93386314,100.0,0,0.0
107,RSANZ,93386314,93386314,100.0,0,0.0
108,QUALF,93386314,93386314,100.0,0,0.0
109,ANZMA,93386314,93386314,100.0,0,0.0
110,RFGRP,93386314,93386314,100.0,0,0.0
111,RFSCH,93386314,93386314,100.0,0,0.0
112,RASCH,93386314,93386314,100.0,0,0.0
113,AUFAK,93386314,93386314,100.0,0,0.0
114,LOGRP,93386314,93386314,100.0,0,0.0
115,LAR01,93386314,93386314,100.0,0,0.0
116,VPLFL,93386314,93386314,100.0,0,0.0
117,UEKAN,93386314,93386314,100.0,0,0.0
118,VPLAL,93386314,93386314,100.0,0,0.0
119,APLZL,93386314,93386314,100.0,0,0.0
120,PLNFL,93386314,93386314,100.0,0,0.0
121,PLNKN,93386314,93386314,100.0,0,0.0
122,PLNAL,93386314,93386314,100.0,0,0.0
123,PLNTY,93386314,93386314,100.0,0,0.0
124,VINTV,93386314,93386314,100.0,0,0.0
125,PLNNR,93386314,93386314,100.0,0,0.0
126,ZAEHL,93386314,93386314,100.0,0,0.0
127,VORNR,93386314,93386314,100.0,0,0.0
128,STEUS,93386314,93386314,100.0,0,0.0
129,ARBID,93386314,93386314,100.0,0,0.0
130,PDEST,93386314,93386314,100.0,0,0.0
131,WERKS,93386314,93386314,100.0,0,0.0
132,KTSCH,93386314,93386314,100.0,0,0.0
133,LTXA1,93386314,93386314,100.0,0,0.0
134,LTXA2,93386314,93386314,100.0,0,0.0
135,TXTSP,93386314,93386314,100.0,0,0.0
136,VPLTY,93386314,93386314,100.0,0,0.0
137,VPLNR,93386314,93386314,100.0,0,0.0
138,UEMUS,93386314,93386314,100.0,0,0.0
139,FLIES,93386314,93386314,100.0,0,0.0
140,LEK05,93386314,93386314,100.0,0,0.0
141,PPRIO,93386314,93386314,100.0,0,0.0
142,ANFKO,93386314,93386314,100.0,0,0.0
143,ANFKOKRS,93386314,93386314,100.0,0,0.0
144,INDET,93386314,93386314,100.0,0,0.0
145,LARNT,93386314,93386314,100.0,0,0.0
146,PRKST,93386314,93386314,100.0,0,0.0
147,APLFL,93386314,93386314,100.0,0,0.0
148,RUECK,93386314,93386314,100.0,0,0.0
149,RMZHL,93386314,93386314,100.0,0,0.0
150,PROJN,93386314,93386314,100.0,0,0.0
151,OBJNR,93386314,93386314,100.0,0,0.0
152,SPANZ,93386314,93386314,100.0,0,0.0
153,BEDID,93386314,93386314,100.0,0,0.0
154,BEDZL,93386314,93386314,100.0,0,0.0
155,BANFN,93386314,93386314,100.0,0,0.0
156,BNFPO,93386314,93386314,100.0,0,0.0
157,LEK01,93386314,93386314,100.0,0,0.0
158,LEK02,93386314,93386314,100.0,0,0.0
159,LEK03,93386314,93386314,100.0,0,0.0
160,LEK04,93386314,93386314,100.0,0,0.0
161,BUKRS,93386314,93386314,100.0,0,0.0
162,MLSTN,93386314,93386314,100.0,0,0.0
163,SPMUS,93386314,93386314,100.0,0,0.0
