Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,93386377,93386377,100.0,0,0.0
2,WARTZ,93386377,93386377,100.0,0,0.0
3,RUEST,93386377,93386377,100.0,0,0.0
4,RSTZE,93386377,93386377,100.0,0,0.0
5,BEARZ,93386377,93386377,100.0,0,0.0
6,BEAZE,93386377,93386377,100.0,0,0.0
7,ABRUE,93386377,93386377,100.0,0,0.0
8,ARUZE,93386377,93386377,100.0,0,0.0
9,LIEGZ,93386377,93386377,100.0,0,0.0
10,LIGZE,93386377,93386377,100.0,0,0.0
11,TRANZ,93386377,93386377,100.0,0,0.0
12,TRAZE,93386377,93386377,100.0,0,0.0
13,ISERH,93386377,93386377,100.0,0,0.0
14,OFM01,93386377,93386377,100.0,0,0.0
15,OFM02,93386377,93386377,100.0,0,0.0
16,OFM03,93386377,93386377,100.0,0,0.0
17,OFM04,93386377,93386377,100.0,0,0.0
18,OFM05,93386377,93386377,100.0,0,0.0
19,OFM06,93386377,93386377,100.0,0,0.0
20,OFMNW,93386377,93386377,100.0,0,0.0
21,BZOFFB,93386377,93386377,100.0,0,0.0
22,WRTZE,93386377,93386377,100.0,0,0.0
23,EWSTA,93386377,93386377,100.0,0,0.0
24,OFFSTB,93386377,93386377,100.0,0,0.0
25,EWSTE,93386377,93386377,100.0,0,0.0
26,ISAZ,93386377,93386377,100.0,0,0.0
27,IEDD,93386377,93386377,100.0,0,0.0
28,IEDZ,93386377,93386377,100.0,0,0.0
29,PEDD,93386377,93386377,100.0,0,0.0
30,PEDZ,93386377,93386377,100.0,0,0.0
31,PUFFR,93386377,93386377,100.0,0,0.0
32,PUFGS,93386377,93386377,100.0,0,0.0
33,NTANF,93386377,93386377,100.0,0,0.0
34,NTANZ,93386377,93386377,100.0,0,0.0
35,NTEND,93386377,93386377,100.0,0,0.0
36,NTENZ,93386377,93386377,100.0,0,0.0
37,EWSTD,93386377,93386377,100.0,0,0.0
38,EWSTZ,93386377,93386377,100.0,0,0.0
39,EWEND,93386377,93386377,100.0,0,0.0
40,EWENZ,93386377,93386377,100.0,0,0.0
41,EWDAN,93386377,93386377,100.0,0,0.0
42,EWDNE,93386377,93386377,100.0,0,0.0
43,EWDAM,93386377,93386377,100.0,0,0.0
44,EWDME,93386377,93386377,100.0,0,0.0
45,EHOFFB,93386377,93386377,100.0,0,0.0
46,OFFSTE,93386377,93386377,100.0,0,0.0
47,IEBZ,93386377,93386377,100.0,0,0.0
48,VSTGA,93386377,93386377,100.0,0,0.0
49,QRASTZFAK,93386377,93386377,100.0,0,0.0
50,QRASTMENG,93386377,93386377,100.0,0,0.0
51,QRASTEREH,93386377,93386377,100.0,0,0.0
52,AUFKT,93386377,93386377,100.0,0,0.0
53,RMNGA,93386377,93386377,100.0,0,0.0
54,ILE01,93386377,93386377,100.0,0,0.0
55,ILE02,93386377,93386377,100.0,0,0.0
56,ILE03,93386377,93386377,100.0,0,0.0
57,ILE04,93386377,93386377,100.0,0,0.0
58,ILE05,93386377,93386377,100.0,0,0.0
59,ILE06,93386377,93386377,100.0,0,0.0
60,RWFAK,93386377,93386377,100.0,0,0.0
61,IPRZ1,93386377,93386377,100.0,0,0.0
62,IPRE1,93386377,93386377,100.0,0,0.0
63,IPRK1,93386377,93386377,100.0,0,0.0
64,TAKT,93386377,93386377,100.0,0,0.0
65,OPRZ1,93386377,93386377,100.0,0,0.0
66,OPRE1,93386377,93386377,100.0,0,0.0
67,PSPM_INDICATOR,93386377,93386377,100.0,0,0.0
68,QRASTZEHT,93386377,93386377,100.0,0,0.0
69,VSTZW,93386377,93386377,100.0,0,0.0
70,BZOFFE,93386377,93386377,100.0,0,0.0
71,KNOTE,93386377,93386377,100.0,0,0.0
72,EHOFFE,93386377,93386377,100.0,0,0.0
73,FPAVD,93386377,93386377,100.0,0,0.0
74,FPAVZ,93386377,93386377,100.0,0,0.0
75,FPEDD,93386377,93386377,100.0,0,0.0
76,FPEDZ,93386377,93386377,100.0,0,0.0
77,SPAVD,93386377,93386377,100.0,0,0.0
78,SPAVZ,93386377,93386377,100.0,0,0.0
79,SPEDD,93386377,93386377,100.0,0,0.0
80,SPEDZ,93386377,93386377,100.0,0,0.0
81,BEAZP,93386377,93386377,100.0,0,0.0
82,PUFGP,93386377,93386377,100.0,0,0.0
83,PUFFP,93386377,93386377,100.0,0,0.0
84,BEARP,93386377,93386377,100.0,0,0.0
85,EPANF,93386377,93386377,100.0,0,0.0
86,EPANZ,93386377,93386377,100.0,0,0.0
87,EPEND,93386377,93386377,100.0,0,0.0
88,EPENZ,93386377,93386377,100.0,0,0.0
89,PDAU,93386377,93386377,100.0,0,0.0
90,PDAE,93386377,93386377,100.0,0,0.0
91,ISAD,93386377,93386377,100.0,0,0.0
92,IEBD,93386377,93386377,100.0,0,0.0
93,AUFPL,93386377,93386377,100.0,0,0.0
94,MINWE,93386377,93386377,100.0,0,0.0
95,ZMINB,93386377,93386377,100.0,0,0.0
96,ZEILM,93386377,93386377,100.0,0,0.0
97,ZLMAX,93386377,93386377,100.0,0,0.0
98,ZEILP,93386377,93386377,100.0,0,0.0
99,ZLPRO,93386377,93386377,100.0,0,0.0
100,ZEIWN,93386377,93386377,100.0,0,0.0
101,ZWNOR,93386377,93386377,100.0,0,0.0
102,ZEIWM,93386377,93386377,100.0,0,0.0
103,ZWMIN,93386377,93386377,100.0,0,0.0
104,ZEITN,93386377,93386377,100.0,0,0.0
105,ZTNOR,93386377,93386377,100.0,0,0.0
106,ZEITM,93386377,93386377,100.0,0,0.0
107,ZTMIN,93386377,93386377,100.0,0,0.0
108,PLIFZ,93386377,93386377,100.0,0,0.0
109,DAUNO,93386377,93386377,100.0,0,0.0
110,DAUNE,93386377,93386377,100.0,0,0.0
111,DAUMI,93386377,93386377,100.0,0,0.0
112,DAUME,93386377,93386377,100.0,0,0.0
113,EINSA,93386377,93386377,100.0,0,0.0
114,ZEIMB,93386377,93386377,100.0,0,0.0
115,ZMINU,93386377,93386377,100.0,0,0.0
116,ARBEI,93386377,93386377,100.0,0,0.0
117,ZEIMU,93386377,93386377,100.0,0,0.0
118,APLZL,93386377,93386377,100.0,0,0.0
119,MEINH,93386377,93386377,100.0,0,0.0
120,UMREN,93386377,93386377,100.0,0,0.0
121,UMREZ,93386377,93386377,100.0,0,0.0
122,BMSCH,93386377,93386377,100.0,0,0.0
123,ZMERH,93386377,93386377,100.0,0,0.0
124,ZEIER,93386377,93386377,100.0,0,0.0
125,VGE01,93386377,93386377,100.0,0,0.0
126,VGW01,93386377,93386377,100.0,0,0.0
127,VGE02,93386377,93386377,100.0,0,0.0
128,VGW02,93386377,93386377,100.0,0,0.0
129,VGE03,93386377,93386377,100.0,0,0.0
130,VGW03,93386377,93386377,100.0,0,0.0
131,VGE04,93386377,93386377,100.0,0,0.0
132,VGW04,93386377,93386377,100.0,0,0.0
133,VGE05,93386377,93386377,100.0,0,0.0
134,VGW05,93386377,93386377,100.0,0,0.0
135,VGE06,93386377,93386377,100.0,0,0.0
136,VGW06,93386377,93386377,100.0,0,0.0
137,EINSE,93386377,93386377,100.0,0,0.0
138,ARBEH,93386377,93386377,100.0,0,0.0
139,ISBZ,93386377,93386377,100.0,0,0.0
140,FSELD,93386377,93386377,100.0,0,0.0
141,SSAVD,93386377,93386377,100.0,0,0.0
142,SSAVZ,93386377,93386377,100.0,0,0.0
143,SSSBD,93386377,93386377,100.0,0,0.0
144,SSSBZ,93386377,93386377,100.0,0,0.0
145,SSSAD,93386377,93386377,100.0,0,0.0
146,SSSAZ,93386377,93386377,100.0,0,0.0
147,SSEDD,93386377,93386377,100.0,0,0.0
148,SSEDZ,93386377,93386377,100.0,0,0.0
149,SSSLD,93386377,93386377,100.0,0,0.0
150,SSSLZ,93386377,93386377,100.0,0,0.0
151,SSELD,93386377,93386377,100.0,0,0.0
152,SSELZ,93386377,93386377,100.0,0,0.0
153,ISAVD,93386377,93386377,100.0,0,0.0
154,IEAVD,93386377,93386377,100.0,0,0.0
155,ISDD,93386377,93386377,100.0,0,0.0
156,ISDZ,93386377,93386377,100.0,0,0.0
157,IERD,93386377,93386377,100.0,0,0.0
158,IERZ,93386377,93386377,100.0,0,0.0
159,ISBD,93386377,93386377,100.0,0,0.0
160,FSELZ,93386377,93386377,100.0,0,0.0
161,FSSLZ,93386377,93386377,100.0,0,0.0
162,MGVRG,93386377,93386377,100.0,0,0.0
163,FSSLD,93386377,93386377,100.0,0,0.0
164,ASVRG,93386377,93386377,100.0,0,0.0
165,LMNGA,93386377,93386377,100.0,0,0.0
166,XMNGA,93386377,93386377,100.0,0,0.0
167,GMNGA,93386377,93386377,100.0,0,0.0
168,ISM01,93386377,93386377,100.0,0,0.0
169,ISM02,93386377,93386377,100.0,0,0.0
170,ISM03,93386377,93386377,100.0,0,0.0
171,ISM04,93386377,93386377,100.0,0,0.0
172,ISM05,93386377,93386377,100.0,0,0.0
173,ISM06,93386377,93386377,100.0,0,0.0
174,ISMNW,93386377,93386377,100.0,0,0.0
175,FSAVD,93386377,93386377,100.0,0,0.0
176,FSAVZ,93386377,93386377,100.0,0,0.0
177,FSSBD,93386377,93386377,100.0,0,0.0
178,FSSBZ,93386377,93386377,100.0,0,0.0
179,FSSAD,93386377,93386377,100.0,0,0.0
180,FSSAZ,93386377,93386377,100.0,0,0.0
181,FSEDD,93386377,93386377,100.0,0,0.0
182,FSEDZ,93386377,93386377,100.0,0,0.0
183,src_commit_time,93386377,93386377,100.0,0,0.0
