Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,85349,85349,100.0,0,0.0
2,AGR_NAME,85349,85349,100.0,0,0.0
3,PARENT_AGR,85349,85349,100.0,0,0.0
4,CREATE_USR,85349,85349,100.0,0,0.0
5,CREATE_DAT,85349,85349,100.0,0,0.0
6,CREATE_TIM,85349,85349,100.0,0,0.0
7,CREATE_TMP,85349,85349,100.0,0,0.0
8,CHANGE_USR,85349,85349,100.0,0,0.0
9,CHANGE_DAT,85349,85349,100.0,0,0.0
10,CHANGE_TIM,85349,85349,100.0,0,0.0
11,CHANGE_TMP,85349,85349,100.0,0,0.0
12,ATTRIBUTES,85349,85349,100.0,0,0.0
13,src_commit_time,85349,85349,100.0,0,0.0
