Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,37361010,37361010,100.0,0,0.0
2,RSART,37361010,37361010,100.0,0,0.0
3,EBELN,37361010,37361010,100.0,0,0.0
4,EBELP,37361010,37361010,100.0,0,0.0
5,ELIKZ,37361010,37361010,100.0,0,0.0
6,WEMPF,37361010,37361010,100.0,0,0.0
7,ABLAD,37361010,37361010,100.0,0,0.0
8,AUFNR,37361010,37361010,100.0,0,0.0
9,RSNUM,37361010,37361010,100.0,0,0.0
10,RSPOS,37361010,37361010,100.0,0,0.0
11,KZEAR,37361010,37361010,100.0,0,0.0
12,MBLNR,37361010,37361010,100.0,0,0.0
13,KZBEW,37361010,37361010,100.0,0,0.0
14,WEUNB,37361010,37361010,100.0,0,0.0
15,PS_PSP_PNR,37361010,37361010,100.0,0,0.0
16,NPLNR,37361010,37361010,100.0,0,0.0
17,AUFPL,37361010,37361010,100.0,0,0.0
18,APLZL,37361010,37361010,100.0,0,0.0
19,SAKTO,37361010,37361010,100.0,0,0.0
20,KOKRS,37361010,37361010,100.0,0,0.0
21,ERFME,37361010,37361010,100.0,0,0.0
22,ERFMG,37361010,37361010,100.0,0,0.0
23,MEINS,37361010,37361010,100.0,0,0.0
24,MENGE,37361010,37361010,100.0,0,0.0
25,MJAHR,37361010,37361010,100.0,0,0.0
26,ZEILE,37361010,37361010,100.0,0,0.0
27,BLDAT,37361010,37361010,100.0,0,0.0
28,BUDAT,37361010,37361010,100.0,0,0.0
29,BWART,37361010,37361010,100.0,0,0.0
30,MATNR,37361010,37361010,100.0,0,0.0
31,WERKS,37361010,37361010,100.0,0,0.0
32,LGORT,37361010,37361010,100.0,0,0.0
33,CHARG,37361010,37361010,100.0,0,0.0
34,SOBKZ,37361010,37361010,100.0,0,0.0
35,LIFNR,37361010,37361010,100.0,0,0.0
36,KDAUF,37361010,37361010,100.0,0,0.0
37,KDPOS,37361010,37361010,100.0,0,0.0
38,SHKZG,37361010,37361010,100.0,0,0.0
39,DMBTR,37361010,37361010,100.0,0,0.0
40,WAERS,37361010,37361010,100.0,0,0.0
41,BWTAR,37361010,37361010,100.0,0,0.0
42,src_commit_time,37361010,37361010,100.0,0,0.0
