Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,249191135,249191135,100.0,0,0.0
2,ATCOD,249191135,249191135,100.0,0,0.0
3,DATUB,249191135,249191135,100.0,0,0.0
4,ATVGLART,249191135,249191135,100.0,0,0.0
5,ATSRT,249191135,249191135,100.0,0,0.0
6,ATZIS,249191135,249191135,100.0,0,0.0
7,ATIMB,249191135,249191135,100.0,0,0.0
8,LKENZ,249191135,249191135,100.0,0,0.0
9,DATUV,249191135,249191135,100.0,0,0.0
10,ATAUT,249191135,249191135,100.0,0,0.0
11,OBJEK,249191135,249191135,100.0,0,0.0
12,src_commit_time,249191135,249191135,100.0,0,0.0
13,ADZHL,249191135,249191135,100.0,0,0.0
14,KLART,249191135,249191135,100.0,0,0.0
15,MAFID,249191135,249191135,100.0,0,0.0
16,ATZHL,249191135,249191135,100.0,0,0.0
17,ATINN,249191135,249191135,100.0,0,0.0
18,ATWRT,163459656,249191135,65.6,85731479,34.4
19,ATPRZ,147891387,249191135,59.3,101299748,40.7
20,ATINC,147891387,249191135,59.3,101299748,40.7
21,ATAWE,147891387,249191135,59.3,101299748,40.7
22,ATFLV,147891387,249191135,59.3,101299748,40.7
23,ATTLV,147891387,249191135,59.3,101299748,40.7
24,ATAW1,62160206,249191135,24.9,187030929,75.1
25,ATFLB,62160206,249191135,24.9,187030929,75.1
26,ATTLB,62160206,249191135,24.9,187030929,75.1
27,AENNR,62159908,249191135,24.9,187031227,75.1
