Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,36811891,36811891,100.0,0,0.0
2,BUKRS,36811891,36811891,100.0,0,0.0
3,LIFNR,36811891,36811891,100.0,0,0.0
4,WAERS,36811891,36811891,100.0,0,0.0
5,BLDAT,36811891,36811891,100.0,0,0.0
6,XBLNR,36811891,36811891,100.0,0,0.0
7,WRBTR,36811891,36811891,100.0,0,0.0
8,BELNR,36811891,36811891,100.0,0,0.0
9,GJAHR,36811891,36811891,100.0,0,0.0
10,BUZEI,36811891,36811891,100.0,0,0.0
11,SHKZG,36811891,36811891,100.0,0,0.0
12,src_commit_time,36811891,36811891,100.0,0,0.0
