Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,65705579,65705579,100.0,0,0.0
2,HRCOSTASG,65705579,65705579,100.0,0,0.0
3,AENAM,65705579,65705579,100.0,0,0.0
4,LAETM,65705579,65705579,100.0,0,0.0
5,LAEDA,65705579,65705579,100.0,0,0.0
6,ERNAM,65705579,65705579,100.0,0,0.0
7,ERSTM,65705579,65705579,100.0,0,0.0
8,ERSDA,65705579,65705579,100.0,0,0.0
9,HRBUDGET_PD,65705579,65705579,100.0,0,0.0
10,CPR_OBJTYPE,65705579,65705579,100.0,0,0.0
11,CPR_OBJGEXTID,65705579,65705579,100.0,0,0.0
12,CPR_OBJGUID,65705579,65705579,100.0,0,0.0
13,CPR_EXTID,65705579,65705579,100.0,0,0.0
14,CPR_GUID,65705579,65705579,100.0,0,0.0
15,BUKRS,65705579,65705579,100.0,0,0.0
16,TASKCOMPONENT,65705579,65705579,100.0,0,0.0
17,TASKLEVEL,65705579,65705579,100.0,0,0.0
18,TASKTYPE,65705579,65705579,100.0,0,0.0
19,STATKEYFIG,65705579,65705579,100.0,0,0.0
20,UNIT,65705579,65705579,100.0,0,0.0
21,BEMOT,65705579,65705579,100.0,0,0.0
22,HRGRANT_NBR,65705579,65705579,100.0,0,0.0
23,HRFUNC_AREA,65705579,65705579,100.0,0,0.0
24,HRFUND,65705579,65705579,100.0,0,0.0
25,HRLSTAR,65705579,65705579,100.0,0,0.0
26,APNAM,65705579,65705579,100.0,0,0.0
27,APDAT,65705579,65705579,100.0,0,0.0
28,WORKITEMID,65705579,65705579,100.0,0,0.0
29,VTKEN,65705579,65705579,100.0,0,0.0
30,LEKNW,65705579,65705579,100.0,0,0.0
31,CATSQUANTITY,65705579,65705579,100.0,0,0.0
32,CATSAMOUNT,65705579,65705579,100.0,0,0.0
33,ERUZU,65705579,65705579,100.0,0,0.0
34,LONGTEXT,65705579,65705579,100.0,0,0.0
35,LTXA1,65705579,65705579,100.0,0,0.0
36,AUERU,65705579,65705579,100.0,0,0.0
37,PEDD,65705579,65705579,100.0,0,0.0
38,OFMNW,65705579,65705579,100.0,0,0.0
39,ALLDF,65705579,65705579,100.0,0,0.0
40,ENDUZ,65705579,65705579,100.0,0,0.0
41,LOGSYS,65705579,65705579,100.0,0,0.0
42,BEGUZ,65705579,65705579,100.0,0,0.0
43,CATSHOURS,65705579,65705579,100.0,0,0.0
44,TASKCOUNTER,65705579,65705579,100.0,0,0.0
45,EXTDOCUMENTNO,65705579,65705579,100.0,0,0.0
46,EXTAPPLICATION,65705579,65705579,100.0,0,0.0
47,EXTSYSTEM,65705579,65705579,100.0,0,0.0
48,BELNR,65705579,65705579,100.0,0,0.0
49,REASON,65705579,65705579,100.0,0,0.0
50,REFCOUNTER,65705579,65705579,100.0,0,0.0
51,STATUS,65705579,65705579,100.0,0,0.0
52,HRKOSTL,65705579,65705579,100.0,0,0.0
53,AUTYP,65705579,65705579,100.0,0,0.0
54,COUNTER,65705579,65705579,100.0,0,0.0
55,WERKS,65705579,65705579,100.0,0,0.0
56,S_FUND,65705579,65705579,100.0,0,0.0
57,GRANT_NBR,65705579,65705579,100.0,0,0.0
58,FUNC_AREA,65705579,65705579,100.0,0,0.0
59,FUND,65705579,65705579,100.0,0,0.0
60,PAOBJNR,65705579,65705579,100.0,0,0.0
61,RPRZNR,65705579,65705579,100.0,0,0.0
62,RKSTR,65705579,65705579,100.0,0,0.0
63,RKDPOS,65705579,65705579,100.0,0,0.0
64,RKDAUF,65705579,65705579,100.0,0,0.0
65,RAPLZL,65705579,65705579,100.0,0,0.0
66,RAUFPL,65705579,65705579,100.0,0,0.0
67,RNPLNR,65705579,65705579,100.0,0,0.0
68,RAUFNR,65705579,65705579,100.0,0,0.0
69,RPROJ,65705579,65705579,100.0,0,0.0
70,RKOSTL,65705579,65705579,100.0,0,0.0
71,LSTNR,65705579,65705579,100.0,0,0.0
72,SPRZNR,65705579,65705579,100.0,0,0.0
73,SEBELP,65705579,65705579,100.0,0,0.0
74,SEBELN,65705579,65705579,100.0,0,0.0
75,LSTAR,65705579,65705579,100.0,0,0.0
76,SKOSTL,65705579,65705579,100.0,0,0.0
77,WORKDATE,65705579,65705579,100.0,0,0.0
78,PERNR,65705579,65705579,100.0,0,0.0
79,S_FUNC_AREA,65705579,65705579,100.0,0,0.0
80,S_GRANT_NBR,65705579,65705579,100.0,0,0.0
81,BUDGET_PD,65705579,65705579,100.0,0,0.0
82,TRFGR,65705579,65705579,100.0,0,0.0
83,ARBID,65705579,65705579,100.0,0,0.0
84,PRICE,65705579,65705579,100.0,0,0.0
85,TCURR,65705579,65705579,100.0,0,0.0
86,MEINH,65705579,65705579,100.0,0,0.0
87,KOKRS,65705579,65705579,100.0,0,0.0
88,PLANS,65705579,65705579,100.0,0,0.0
89,OTYPE,65705579,65705579,100.0,0,0.0
90,PRAKZ,65705579,65705579,100.0,0,0.0
91,PRAKN,65705579,65705579,100.0,0,0.0
92,TRFST,65705579,65705579,100.0,0,0.0
93,AUFKZ,65705579,65705579,100.0,0,0.0
94,SBUDGET_PD,65705579,65705579,100.0,0,0.0
95,WAERS,65705579,65705579,100.0,0,0.0
96,BWGRL,65705579,65705579,100.0,0,0.0
97,WTART,65705579,65705579,100.0,0,0.0
98,VERSL,65705579,65705579,100.0,0,0.0
99,WABLNR,65705579,65705579,100.0,0,0.0
100,REINR,65705579,65705579,100.0,0,0.0
101,SPLIT,65705579,65705579,100.0,0,0.0
102,KAPID,65705579,65705579,100.0,0,0.0
103,LGART,65705579,65705579,100.0,0,0.0
104,AWART,65705579,65705579,100.0,0,0.0
105,src_commit_time,65705579,65705579,100.0,0,0.0
